index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
78,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,07_사회복지 종교,직업상담
79,"직업상담사2급 자격증 취득과정(필기,실기)",고양여성인력개발센터,45,1156860,24,24.0,37.0,07_사회복지 종교,직업상담
80,산모신생아건강관리사 양성과정,(주)부모사랑유씨평생교육원,10,373260,30,57.9,54.0,07_사회복지 종교,건강관리
81,직업상담사2급 자격증 취득과정,미토직업전문학교,30,771240,20,35.5,34.0,07_사회복지 종교,직업상담
82,직업상담사2급 자격증취득(1차+2차),이젠컴퓨터아트서비스학원,50,1285400,10,31.3,34.0,07_사회복지 종교,직업상담
83,"직업상담사2급 자격 취득과정(1,2차 통합)",(주)이룸리더십연구원 이룸리더십학원,45,1156860,20,33.3,39.0,07_사회복지 종교,직업상담
84,"직업상담사 2급 자격증 취득과정(필기, 실기)",다산직업전문학교,50,1285400,20,38.6,40.0,07_사회복지 종교,직업상담
85,직업상담사 2급 자격증 취득과정(실기),다산직업전문학교,27,514160,20,38.6,43.0,07_사회복지 종교,직업상담
86,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,30.0,07_사회복지 종교,직업상담
87,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,48.0,07_사회복지 종교,사회복지
88,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,46.0,07_사회복지 종교,직업상담
89,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,35.0,07_사회복지 종교,직업상담
90,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,40.0,07_사회복지 종교,직업상담
91,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,35.0,07_사회복지 종교,사회복지
92,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,07_사회복지 종교,직업상담
93,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,26.0,07_사회복지 종교,사회복지
94,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,,07_사회복지 종교,직업상담
95,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,,07_사회복지 종교,사회복지
96,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,44.0,07_사회복지 종교,직업상담
97,베이비시터 양성,엘림평생교육원,10,264720,14,63.2,55.0,07_사회복지 종교,베이비시터
98,NCS직업상담실무과정(직업상담사2급1차 필기),안양여성인력개발센터,16,608950,17,40.2,41.0,07_사회복지 종교,직업상담
99,[과정평가형자격]직업상담사2급,동양캐드/전산회계/컴퓨터학원,91,4048800,20,47.6,42.0,07_사회복지 종교,직업상담
100,직업상담사2급취득(필기+실기),원스톱직업학원,45,1156860,28,35.5,35.0,07_사회복지 종교,직업상담
101,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,47.0,07_사회복지 종교,직업상담
102,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,28.0,07_사회복지 종교,직업상담
