index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
882,시각편집(포토샵+일러스트+인디자인)GTQ그래픽기술자격증 취득과정,노원 그린컴퓨터아카데미,34,899040,20,53.8,29.0,08_문화 예술 디자인 방송,포토샵
883,스마트UI/UX웹디자인(웹퍼블리셔)취업과정 E-1,그린컴퓨터아카데미 부산,100,4270440,20,63.4,25.0,08_문화 예술 디자인 방송,웹디자인
884,실내인테리어 디자인(캐드/스케치업/포토샵/일러스트)취업과정,글로벌ICT직업전문학교,87,3371400,20,59.1,28.0,08_문화 예술 디자인 방송,포토샵
885,[핵심쏙쏙]GTQ 1급 자격증(포토샵+일러스트),신청산컴퓨터학원,20,373860,10,45.2,26.0,08_문화 예술 디자인 방송,포토샵
886,모바일 UI/UX 반응형 웹디자인(웹퍼블리셔) B,이젠아카데미평생교육원,94,4045680,20,87.2,25.0,08_문화 예술 디자인 방송,웹디자인
887,"디지털 웹디자인, 웹퍼블리셔 전문가 양성과정",그린컴퓨터아카데미 부천,95,4270440,20,70.5,25.0,08_문화 예술 디자인 방송,웹디자인
888,시각디자인GTQ자격취득(일러스트&포토샵),더조은컴퓨터아트학원,40,899040,20,45.3,28.0,08_문화 예술 디자인 방송,포토샵
889,"영상편집&모션그래픽제작(프리미어,에펙)",더조은아이티아카데미학원,48,1067610,20,32.9,29.0,08_문화 예술 디자인 방송,영상
890,"그래픽디자인입문(포토샵,일러스트)양성",인천구월그린컴퓨터아트학원,30,674280,20,43.2,27.0,08_문화 예술 디자인 방송,포토샵
891,디지털UI/UX 웹디자인(웹퍼블리셔) 전문가 취업과정-B,하이미디어IT융합인재개발원,95,4270440,20,63.6,25.0,08_문화 예술 디자인 방송,웹디자인
892,"멀티미디어 영상콘텐츠제작(프리미어,에펙,영상편집) C",이젠아카데미평생교육원,145,5234040,20,85.0,25.0,08_문화 예술 디자인 방송,멀티미디어
893,"그래픽실무(포토샵,일러스트,인디자인)",배움회계캐드컴퓨터학원,30,674280,10,43.6,,08_문화 예술 디자인 방송,포토샵
894,[과정평가형] 웹디자인기능사,한울직업전문학교,60,2477580,20,60.4,25.0,08_문화 예술 디자인 방송,웹디자인
895,그래픽디자인(포토샵+일러스트+인디자인+포트폴리오+그래픽스운용자격증),배움회계캐드컴퓨터학원,50,1123800,10,43.6,28.0,08_문화 예술 디자인 방송,포토샵
896,게임프로그래밍개발자 양성(유니티3D)-B,인천더조은컴퓨터아트학원,105,5234040,20,60.9,24.0,08_문화 예술 디자인 방송,게임
897,게임그래픽(엔진)전문가양성과정,시드학원,160,4486320,20,52.1,25.0,08_문화 예술 디자인 방송,게임
898,그래픽디자인 및 쇼핑몰관리,대화직업능력개발원,32,1067610,10,52.8,37.0,08_문화 예술 디자인 방송,쇼핑몰
899,영화VFX 마야이펙트 취업과정,청시지아카데미학원,24,1099920,10,26.7,25.0,08_문화 예술 디자인 방송,
900,(디지털디자인)웹디자인(웹퍼블리셔)프론트앤드실무자양성A,더조은컴퓨터아트학원,92,4045680,20,66.0,25.0,08_문화 예술 디자인 방송,웹디자인
901,UI/UX 반응형 웹디자인 전문가,인천 그린컴퓨터아카데미,106,4270440,30,72.7,24.0,08_문화 예술 디자인 방송,웹디자인
902,3D캐릭터애니메이션 마야 양성과정,청시지아카데미학원,28,1007000,10,26.7,25.0,08_문화 예술 디자인 방송,
903,"광고영상편집&모션그래픽(포토,일러,인디,프리미어,에펙,C4D)",윤성회계캐드컴퓨터학원,45,1236180,10,40.5,31.0,08_문화 예술 디자인 방송,영상
904,"유튜브 영상편집실무양성 애프터이펙트(After Effect),프리미어(Premiere)",그린컴퓨터아카데미 신촌,62,1869300,20,50.2,27.0,08_문화 예술 디자인 방송,유튜브
905,마야(MAYA) 3D애니메이션 영상그래픽(VFX) 전문가 양성과정,그린컴퓨터아카데미 신촌,62,1931610,20,50.2,24.0,08_문화 예술 디자인 방송,영상
906,"영상편집&모션그래픽제작(프리미어,에프터이펙트,3D) B",이젠아카데미,103,5109420,20,53.5,26.0,08_문화 예술 디자인 방송,영상
907,웹디자인(웹퍼블리셔)프론트앤드실무자양성,더조은컴퓨터학원,90,4045680,25,70.6,26.0,08_문화 예술 디자인 방송,웹디자인
908,"GTQ자격증(포토샵,일러스트)-시각디자인",주식회사 이젠컴퓨터아카데미,29,786660,20,60.4,28.0,08_문화 예술 디자인 방송,포토샵
909,"(멀티미디어콘텐츠제작) 영상 (프리미어,에프터이펙트) 크리에이터 과정 1",강남 그린컴퓨터아카데미,108,5296350,20,41.4,26.0,08_문화 예술 디자인 방송,멀티미디어
910,"그래픽디자인실무&그래픽자격증취득(포토샵,일러스트)",셈틀회계캐드그래픽컴퓨터학원,38,842850,15,80.0,28.0,08_문화 예술 디자인 방송,포토샵
911,스마트기기 UI/UX 웹디자인(웹퍼블리셔)-A,이젠컴퓨터학원,98,3933300,20,77.8,23.0,08_문화 예술 디자인 방송,웹디자인
912,시각디자인(일러스트&포토샵),더조은퍼스트컴퓨터바리스타학원,25,561900,20,35.2,30.0,08_문화 예술 디자인 방송,포토샵
913,3D프린팅융합제품디자인양성과정,고려IT직업전문학교,91,4073770,25,80.4,27.0,08_문화 예술 디자인 방송,
914,PhotoShop(포토샵) CC 한번에 끝내기,(사)한국디지털컨버전스협회,28,62370,500,41.0,30.0,08_문화 예술 디자인 방송,포토샵
915,"포토샵&일러스트(기초부터실무)및 GTQ 취득과정(포토샵1급,일러스트1급)",신영진컴퓨터학원,54,899040,10,49.0,31.0,08_문화 예술 디자인 방송,포토샵
916,미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽,사단법인 한국에듀테크산업협회,28,62370,500,33.3,66.0,08_문화 예술 디자인 방송,빅데이터
917,업무에 통하는 일러스트+포토샵 CS6,사단법인 한국에듀테크산업협회,28,121770,500,33.3,40.0,08_문화 예술 디자인 방송,포토샵
918,[탑강] UX디자인 7가지 비밀,한국이러닝협회,40,149770,500,25.0,,08_문화 예술 디자인 방송,
919,쉽게 배우는 일러스트CC,(사)한국디지털컨버전스협회,28,62370,500,41.0,31.0,08_문화 예술 디자인 방송,
920,"영상편집&모션그래픽제작(프리미어,에펙)",더조은아이티아카데미학원,27,1067610,20,32.9,34.0,08_문화 예술 디자인 방송,영상
921,기업맞춤형 시각ㆍ광고 크리에이터 양성과정,NEW국제직업전문학교,114,4966720,25,70.3,25.0,08_문화 예술 디자인 방송,
922,시각디자인(옥외광고) 양성과정,그린컴퓨터아카데미,85,3820920,20,66.7,25.0,08_문화 예술 디자인 방송,시각디자인
923,(게임콘텐츠제작) 게임 프로그래밍 및 컨텐츠 전문가 양성과정 (1),아텐츠게임아카데미,129,4822790,30,54.4,24.0,08_문화 예술 디자인 방송,게임
924,웹퍼블리셔(UI/UX 웹디자인)입문과정,노원 그린컴퓨터아카데미,60,1629510,20,53.8,27.0,08_문화 예술 디자인 방송,웹디자인
925,언리얼엔진 게임프로그래밍 개발자 양성과정 B,재단법인 국제인재능력개발원,109,5420970,28,49.2,28.0,08_문화 예술 디자인 방송,게임
926,그래픽디자인(포토샵.일러스트.인디자인),윤성회계캐드컴퓨터학원,43,842850,15,40.5,27.0,08_문화 예술 디자인 방송,포토샵
927,웹디자인(UI/UX) 실무 양성과정(A),부산부경직업전문학교,65,3067480,20,61.5,29.0,08_문화 예술 디자인 방송,웹디자인
928,포토샵&영상편집(프리미어/에펙),윤성회계캐드컴퓨터학원,30,674280,15,40.5,,08_문화 예술 디자인 방송,포토샵
929,"3D 입체 콘텐츠(영상편집, 3D 영상제작) 실무자 양성 훈련A",(재)한국아이티교육재단 한국IT아카데미 구로,88,3949560,30,69.2,27.0,08_문화 예술 디자인 방송,영상
930,"디지털디자인(웹디자이너, 웹퍼블리셔) 양성과정",안산 그린컴퓨터아카데미,106,4270440,20,76.6,24.0,08_문화 예술 디자인 방송,디지털디자인
931,"실내건축산업기사(캐드,스케치업,맥스)A [2020년 의정부]",그린컴퓨터아카데미,104,4348800,20,78.8,27.0,08_문화 예술 디자인 방송,
932,제품모형제작을 위한 3D프린팅운용,아성직업전문학교,86,3371400,22,81.0,30.0,08_문화 예술 디자인 방송,
933,"디지털편집디자인(포토샵,일러스트,인디자인,E-BOOK)",더조은퍼스트컴퓨터바리스타학원,50,1123800,20,35.2,30.0,08_문화 예술 디자인 방송,포토샵
934,"영상 제작 (영상기획, 촬영, 영상편집) 양성 훈련 A4",(재)한국아이티교육재단 한국IT아카데미 구로,98,4407480,30,69.2,25.0,08_문화 예술 디자인 방송,영상
