,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
597,"편집디자인양성과정(포토샵,일러스트,인디자인)",하이미디어아이티컴퓨터학원,40,1509120,15,,34,서울,영등포구
598,편집디자인(포토샵+일러스트) GTQ자격증 취득과정,래이컴퓨터아트학원,30,943200,15,,28,충남,천안시
599,화훼장식기능사 취득(실기),론다플라워아카데미학원,12,725360,10,,28,서울,관악구
600,플라워 파티 플래너 스타일링 과정,은선꽃예술학원,30,956520,12,46.2,36,대전,유성구
601,가죽공예 가방제작 구직자 양성과정,평생문화센터강동교육원,15,797000,20,38.5,35,서울,강동구
602,화훼장식기능사취득양성,평택한나래꽃예술학원,18,1081030,15,38.2,31,경기,평택시
603,플라워샵 그린인테리어,안단테꽃예술직업학교,10,528260,22,35.2,39,서울,강남구
604,(가구설계제작)2D 및 3D활용 디자인가구 설계제작자 양성,뿌리깊은나무직업전문학교,116,6456510,20,,35,대전,유성구
605,"웹퍼블리싱 Ebook출판,편집디자인",부산나래디자인학원,85,4275840,20,100,25,부산,중구
606,플라워샵 취업,(재)대구직업전문학교,30,1195650,16,53.4,40,대구,북구
607,[국기] 디지털퍼블리싱(출판편집)실무자양성과정,SBS아카데미 컴퓨터아트학원,134,3664760,20,,25,부산,부산진구
608,플로리스트 구직 양성 과정,원스플라워디자인학원,42,2008690,12,,36,경북,포항시
609,가구설계제작,대한상공회의소 경기인력개발원,144,7811580,28,,31,경기,파주시
610,플라워샵 판매상품 제작(플로리스트 실무과정),가든브릿지플라워디자인학원,20,797100,10,,32,충남,천안시
611,플라워샵 창업[화원경영],제이플로리스트학원,16,1020280,15,28.3,40,서울,서초구
612,"플라워샵 취업,창업 과정",란스플로리스트꽃꽂이학원,20,1056520,13,36.9,34,서울,송파구
613,플로리스트 웨딩플라워 스타일링과정,메이필드호텔스쿨,26,621730,20,,34,서울,강서구
614,화훼장식 실무집중과정,청플라워디자인학원,16,865210,15,,32,대전,서구
615,화훼장식기능사 자격증 과정,은선꽃예술학원,30,956520,12,46.2,36,대전,유성구
616,인디자인을 활용한 (시각/편집)디자인 포트폴리오 제작,인천구월그린컴퓨터아트학원,48,1509120,10,48.8,,인천,남동구
617,화훼장식기능사 취득(실기),포엠플로리스트학원,20,813040,15,,32,서울,서초구
618,"편집(포토샵, 일러스트) 광고출판시각 입문과정 (N1)",강남 그린컴퓨터아카데미,31,754560,20,45.1,29,서울,강남구
619,섬유공예 패턴제작 전문과정,휴평생직업교육학원,21,1004340,13,91.7,42,경남,거제시
620,플로리스트 기초 과정,예원플라워아카데미학원,12,765210,18,,29,인천,계양구
621,귀금속가공취업양성,한울귀금속공예전문학원,32,1484470,19,52.5,34,서울,종로구
622,플라워샵 창업과 취업과정,은선꽃예술학원,30,956520,12,46.2,36,대전,유성구
623,"편집디자인(포토샵, 일러스터, 인디자인, e-book) 양성",미래컴퓨터학원,72,3144000,20,83.3,25,부산,사상구
624,화훼장식전문가양성,서울플라워디자인학원,12,669560,15,36.4,32,서울,마포구
625,그래픽디자인입문(포토샵+일러스트)+GTQ자격증 실기,인천구월그린컴퓨터아트학원,34,855160,20,48.8,34,인천,남동구
626,[계좌제] 편집디자이너 양성과정,SBS아카데미컴퓨터아트학원,80,2012160,20,,26,서울,마포구
627,화훼장식기능사 취득_201호,제이플로리스트학원,16,1020280,15,28.3,29,서울,서초구
628,인디자인을 활용한 (시각/편집)디자인 포트폴리오 제작,인천구월그린컴퓨터아트학원,48,1509120,10,48.8,24,인천,남동구
629,플라워샵 취업 및 창업과정,한국평생교육원,20,956520,13,27.5,32,부산,사상구
630,디지털퍼블리싱 편집디자이너 양성과정,강남 그린컴퓨터아카데미,77,3018240,20,70.4,26,서울,강남구
631,"편집디자인(일러스트레이터,포토샵,e-book)양성과정",그린컴퓨터아트학원,80,2012160,20,71.4,29,전북,전주시
632,"[출판]출판편집디자인(포토샵,일러스트,인디자인)과정A-원격보조훈련",굿잡아카데미컴퓨터아트학원,70,3671520,20,38.5,25,서울,서초구
633,"출판편집디자인(포토샵,일러스트,드로잉,인디자인) 실무자 양성과정",굿잡아카데미컴퓨터아트학원,54,2012160,21,,26,서울,마포구
634,플라워샵 상품제작 양성과정,론다플라워아카데미학원,12,669560,10,,29,서울,관악구
635,화훼장식기능사 취득,그린꽃예술학원,25,1195650,10,,39,대전,중구
636,플라워샵취업창업,안단테꽃예술직업학교,20,1056520,22,35.2,30,서울,강남구
637,"플로리스트 양성과정(플라워 기본상품,이벤트상품)",미소꽃예술학원,20,637680,16,34,36,서울,서초구
