,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
694,스마트 웹콘텐츠 UI/UX 디자인 & 프론트엔드(React.js)(A),이젠아카데미평생교육원,110,5797440,20,78.1,25,서울,서초구
695,UI/UX디자인 웹퍼블리셔 & 프론트엔드 개발자 양성과정 (N.08),강남 그린컴퓨터아카데미,114,5929200,20,68.6,27,서울,강남구
696,빅데이터기반 융합SW개발자과정1,스마트미디어인재개발원,104,6108615,26,,23,광주,동구
697,모바일 웹디자인 & 프론트엔드,이젠아카데미컴퓨터학원,110,5797440,20,63,28,경기,성남시
698,웹표준 기반 UI/UX엔지니어링 콘텐츠 전문가 양성 B,더조은아카데미,100,5270400,25,70.6,26,서울,강서구
699,[과정평가형] 정보처리산업기사 & 응용소프트웨어개발자 과정(A),영진직업전문학교,103,5099040,25,,25,대구,동구
700,자바기반 시스템 프로그래밍 양성,우리컴퓨터전산회계학원,100,3294000,20,,24,경기,부천시
701,정보시스템 보안 구축 엔지니어 양성 과정,코리아아이티(IT)아카데미학원,108,4269020,20,,25,대구,중구
702,R과 파이썬을 활용한 빅데이터분석 전문가 양성과정(B),케이아이씨캠퍼스학원,90,5273280,30,54,25,서울,강남구
703,스마트웹앱콘텐츠개발자,경영기술개발원교육센터주식회사,125,6588000,30,87.5,35,서울,구로구
704,머신러닝기반 빅데이터 응용 전문가 과정1,스마트미디어인재개발원,44,3349115,26,,23,광주,북구
705,[2020년 과정평가형자격]자바(JAVA) 웹개발과정(정보처리산업기사)A,주식회사 이젠컴퓨터아카데미,101,5665600,30,73.5,25,서울,노원구
706,빅데이터 분석을 활용한 데이터 마케팅 전문가 양성과정(B),하이미디어아카데미인재개발원,46,2833920,25,,23,충남,천안시
707,JAVA기반 IT콘텐츠 개발자 양성과정,중앙정보처리학원,120,6324480,30,74.1,27,서울,마포구
708,디지털컨버전스 자바(JAVA)&스프링(Spring)프레임워크 개발자 양성과정-1,그린컴퓨터아카데미 부산,122,5929200,30,70.9,25,부산,남구
709,스마트 콘텐츠 융합 응용SW 엔지니어 양성과정(2),KH정보교육원 강남지원,150,5929200,30,83.6,25,서울,강남구
710,정보보안 엔지니어 및 보안시스템 운영 관리자 양성과정(2),KH정보교육원 강남지원,105,5533920,23,83.6,24,서울,강남구
711,빅데이터기반 융합SW개발자과정2,스마트미디어인재개발원,103,6108615,26,,23,광주,동구
712,빅데이터분석 및 구축을 위한 파이썬머신러닝과정,광운대학교,45,2585370,30,,22,서울,노원구
713,머신러닝기반 빅데이터 응용 전문가 과정2,스마트미디어인재개발원,44,3349115,26,,22,광주,남구
714,클라우드 보안 융합전문가 양성과정,SK인포섹 아카데미,120,13721280,24,,24,경기,성남시
715,"디지털영상콘텐츠 제작과정(프리미어,에프터이펙트)",하이미디어컴퓨터학원,40,1240400,25,,28,서울,마포구
716,클라우드 AI 융합전문가 양성과정,SK인포섹 아카데미,120,14339520,24,,25,경기,성남시
717,빅데이터 활용 경영데이터분석 전문인력 양성과정2,한국경영인증원,65,5028800,25,,22,대전,서구
718,무인이동체용 지능형임베디드시스템 개발자,대한상공회의소 충남인력개발원,118,18181480,20,,24,대전,중구
719,엣지 컴퓨팅 활용 IoT시스템 개발자,대한상공회의소 충남인력개발원,118,15850280,20,,25,대전,중구
720,빅데이터기반의 자바 웹 백엔드 고급개발자 양성과정 D(삼육대학교),비트교육센터,42,3405750,20,,22,서울,노원구
721,자바기반 안드로이드 앱 개발_D,더조은컴퓨터아카데미,113,5929200,20,63.8,27,서울,서초구
722,빅데이터기반의 자바 웹 백엔드 고급개발자 양성과정 B(광운대학교),비트교육센터,42,3405750,20,,23,서울,서초구
723,UI/UX 반응형 웹디자인&웹퍼블리셔,하이미디어컴퓨터디자인학원,119,6258600,25,,25,서울,구로구
724,C와 Java를 활용한 IoT 응용 SW개발자 양성과정(B),에이콘아카데미 종로학원,110,5797440,30,54.7,25,서울,중구
725,Java 프레임웍기반 풀스텍 양성C,코리아IT아카데미,107,5639320,35,73.2,26,서울,강남구
726,ICT융합 보안엔지니어 양성-A,(재)부산인재개발원 부산직업전문학교,121,5560270,25,70.6,28,부산,수영구
727,실무프로젝트 기반 산업 빅데이터 분석가 양성과정,아시아경제 교육센터,88,6358100,25,,26,서울,중구
728,산업별 빅데이터를 적용한 인큐베이팅 프로젝트 과정,중앙에이치티에이㈜,120,11785920,20,,28,서울,종로구
729,빅데이터기반의 자바 웹 백엔드 고급개발자 양성과정 E(서경대학교),비트교육센터,42,3405750,20,,23,서울,서초구
730,(과정평가형)정보처리산업기사 자격증 취득과정A,(재)한국아이티교육재단 한국IT직업전문학교,87,4249200,20,48.2,28,서울,서초구
731,침해대응 전문가 양성,대우직업능력개발원,113,5929200,27,80.2,24,서울,중랑구
