,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
768,(케이크+초콜릿)디저트 실무자 양성과정,궁전요리제빵직업전문학교,29,679700,20,48.4,32,전북,전주시
769,디저트실무반,음식나라조리학원,34,897200,12,38.1,35,전북,전주시
770,떡제조기능사취득과정,논현요리제과커피학원,25,679700,18,27.3,45,인천,남동구
771,떡 제조기능사 자격 취득과정(이론+실기),이화푸드조리제빵학원,20,543760,18,49.1,40,대전,서구
772,제과-케익데코레이션&디저트실무과정,한국외식제과직업전문학교,34,924390,15,44.9,28,대구,중구
773,제과제빵기능사 실기과정,(주)한솔외식창업아카데미,35,951580,20,,35,서울,종로구
774,"제과제빵 기능사 자격증 취득,취업과정(필기+실기)",서울현대직업전문학교 디지털구로캠퍼스,27,1101110,20,61.6,25,서울,구로구
775,제과기능사 자격증 취득과정(필기+실기),한국음식문화직업전문학교,34,679700,18,54.3,35,경기,성남시
776,천연발효건강빵,종로호텔제과직업전문학교,24,489380,20,48.3,45,서울,종로구
777,제빵기능사취득&브런치빵실무,신세계제과제빵전문학원,24,802040,14,52.6,41,부산,중구
778,제빵(실기) 기능사 자격증반,김미연요리제과제빵학원,21,570940,15,,31,경기,남양주시
779,제과제빵 현장실무(제빵기능사+제과기능사),간석외식직업전문학교,45,1223460,20,38.5,26,인천,남동구
780,제빵기능사 자격취득과정(실기),TopChef(탑쉐프)요리학원,24,570940,10,,24,광주,북구
781,제과제빵기능사 실기 및 케익데코 디저트 과정,서울호텔제과제빵요리직업전문학교,56,1522520,20,50.7,31,서울,광진구
782,제과(실기)기능사 자격증반,김미연요리제과제빵학원,21,570940,15,,33,경기,남양주시
783,제과제빵자격취득(이론&실기),한선생직업전문학교,47,958370,10,42.9,30,경기,수원시
784,제과제빵실기와 케익데코레이션,한솔요리아카데미 강동,41,1164700,14,47.9,33,서울,강동구
785,제과제빵기능사자격증취득(이론+실기),비앤씨요리제과제빵학원,51,1386580,12,27.3,38,경기,안양시
786,제과카페브런치/케익디자이너,봄뜰제과제빵학원,40,1087520,10,50,36,부산,사하구
787,제과제빵기능사(이론+실기)자격 취득과정,서울현대직업전문학교,22,1155490,20,,22,서울,영등포구
788,제과제빵 기능사 취득과정,전남요리제빵학원,50,1359400,18,,30,전남,순천시
789,제과제빵사 자격증 취득과정,베이커탑제과커피직업전문학교,50,1359400,12,53.6,29,경기,의정부시
790,제과제빵기능사 케이크디자이너 자격취득과 실무과정,둔산음식나라조리제과커피학원,60,1584000,18,47.7,32,대전,서구
791,제과 및 제빵기능사 취득과정,에프비아이제과제빵커피학원,44,1196270,10,35.3,36,경기,고양시
792,제과제빵기능사 취득 과정,궁전제과(주)광주제과기술학원,60,1427370,20,48.5,27,광주,북구
793,케이크와 디저트 양성반,종로호텔제과직업전문학교,25,679700,16,48.3,34,서울,종로구
794,제과디저트케이크현장실무과정,(주)한국외식조리직업전문학교 연수점,60,1223460,27,52.5,42,인천,연수구
795,제과제빵기능사취득과정(이론+실기과정),화정제과제빵학원,54,1291430,12,,32,경기,고양시
796,제과제빵기능사취업과정,(주)한국외식조리직업전문학교,70,1427370,24,56.1,29,인천,부평구
797,제과카페브런치/케익디자이너,봄뜰제과제빵학원,54,1087520,10,50,33,부산,사하구
798,제과제빵기능사 취득 과정,동탄요리제과제빵학원,40,1277830,16,,33,경기,화성시
799,고급디저트 및 케이크 초콜릿 자격증과정(이론+실기),김상엽제과제빵학원,45,1253840,10,31.3,35,서울,도봉구
800,제과제빵기능사취득,몽상가인직업전문학교,30,815640,18,35.5,36,충남,천안시
801,제과제빵기능사자격취득 및 실무 케이크 (실기) 과정,마에스트로제과제빵학원,55,1495340,20,,40,인천,남동구
802,베이커리 제빵기능사취득 (실기) 과정,마에스트로제과제빵학원,25,679700,20,,37,인천,남동구
803,제과제빵기능사취득,봄뜰제과제빵학원,50,1359400,10,50,38,부산,사하구
804,제빵기능사 자격증 취득과정(이론+실기),올리브요리제과커피학원,34,924390,15,,33,경남,창원시
805,제과제빵기능사 취득과정,검단직업능력개발학원,50,1359400,16,41.4,33,인천,서구
806,제빵기능사 취득과정(이론 및 실기),김지순요리제과직업전문학교,30,815640,16,31,32,제주,제주시
807,"20_디저트(마카롱,타르트,쿠키)와 바리스타 자격 취득",한국조리사관직업전문학교,14,679700,20,42.1,37,서울,금천구
808,제과제빵사 자격증 취득과정,베이커탑제과커피직업전문학교,50,1359400,12,53.6,27,경기,의정부시
809,제과제빵자격증취득(이론+실기),한국외식제과직업전문학교,50,1359400,18,44.9,28,대구,중구
810,"제과기능사,제빵기능사(이론+실기)자격취득과정",월드호텔요리제과커피학원,22,829230,12,93.3,29,경기,수원시
811,제과제빵자격증취득과정,(주)씨아이케이한국외식조리직업전문학교(CIK),60,1223460,26,50.9,37,경기,부천시
812,제과제빵기능사 자격증과정(이론+실기),제천제빵커피학원,50,1452600,18,,44,충북,제천시
813,제과제빵과 케이크데코레이션,경기외식직업전문학교,65,1767220,15,51.4,33,경기,수원시
814,카페제과디저트취업과정,(주)씨아이케이한국외식조리직업전문학교(CIK),60,1223460,20,50.9,41,경기,부천시
815,제과카페디저트케이크취업과정,(주)한국외식조리직업전문학교,60,1223460,20,56.1,37,인천,부평구
816,제과제빵자격증&디저트실무 과정,한솔요리커피제과제빵학원,46,1250640,20,,25,부산,부산진구
817,"(이론+실시) 제과,제빵기능사 자격취득",뉴영남요리제과제빵아카데미,49,1332210,9,25,36,경남,진주시
818,케이크 데코 및 디저트 실용과정,궁전제과(주)광주제과기술학원,60,1223460,15,48.5,25,광주,북구
819,제과 및 제빵기능사 취득과정,에프비아이제과제빵커피학원,44,1196270,20,35.3,35,경기,고양시
820,제과기능사취득[이론+실기],부천조리직업전문학교,37,761260,20,47.8,30,경기,부천시
821,제과제빵기능사 취득 (이론+실기),경남요리제과제빵커피학원,45,1223460,18,38.9,40,경남,창원시
822,제과제빵실기 한번에 취득과정,한솔요리아카데미 강동,48,1028760,14,47.9,32,서울,강동구
823,(일반고 특화) 제과제빵 자격취득 및 제빵사 양성 과정,new광주직업전문학교(북구),88,3874470,20,,,광주,북구
