,과정명,학원명,기간,훈련비,정원,취업률,연령대
1402,게임 시스템 및 밸런스 기획자 양성과정,서울게임학원,129,2243160,20,58.9,25
1403,"쇼핑몰&웹디자인(포토샵,일러스트)",더조은컴퓨터아트학원,60,1348560,20,,28
1404,이모티콘 및 게임 그래픽 제작 양성과정,서울게임아트학원,120,2243160,12,51.1,24
1405,"[디지털디자인]모바일 웹 & 앱디자인(웹퍼블리셔, jquery, vue.js)",이젠컴퓨터2관학원,100,3933300,20,,26
1406,3D프린터 운용 디자인,부산메인직업학교,63,1404750,20,,45
1407,3D 유니티 활용 게임콘텐츠 제작 실무자 양성과정,국제직업전문학교,142,5420970,30,51.1,24
1408,"유튜브크리에이터 영상편집(프리미어,에펙)-시각디자인",이젠컴퓨터학원,38,1067610,20,,27
1409,"시각디자인(일러스트,포토샵) GTQ자격취득",명문직업전문학교,47,797890,10,,27
1410,실내디자인 실무 양성과정(B),부산부경직업전문학교,80,3865600,20,61.5,29
1411,디지털디자인(웹디자인/일러스트/포토샵),(주)허브컴퓨터회계아트학원,40,899040,14,45.3,36
1412,웹디자인기능사B(과정평가형),대우정보처리회계학원,75,3480410,30,,30
1413,시각디자인을 활용한 컬러리스트 양성과정,창원직업전문학교,88,3427590,20,67.9,31
1414,[디지털디자인]모바일 UI/UX 반응형 웹디자인(웹퍼블리셔)-A,이젠아카데미컴퓨터학원,99,4192990,22,,25
1415,"멀티미디어&영상편집(모션그래픽,프리미어,에프터이펙트)양성과정 H-3",그린컴퓨터아카데미 부산,107,5296350,20,39.7,25
1416,"멀티미디어 콘텐츠 제작 (프리미어,에프터이펙트,C4D) 전문가 양성과정",그린컴퓨터아카데미,98,4361700,20,70.6,26
1417,(스튜디오실습)디지털&유튜브 영상편집,하이미디어IT융합인재개발원,56,1573320,20,,33
1418,게임 콘텐츠 리소스 개발자 양성과정,마루스쿨학원,162,5047110,25,,26
1419,"플립드러닝(멀티미디어콘텐츠제작)영상편집(모션그래픽,프리미어,에펙,C4D)",그린컴퓨터아카데미 성남,126,5109420,20,,26
1420,멀티미디어콘텐츠제작(스마트 앱&웹) 신규구직자 양성과정,그린컴퓨터아카데미,111,4984800,25,70.6,25
1421,디자인 양성(포토샵+일러스트&그래픽실무),이노직업전문학교,35,786660,20,38.7,37
1422,[일반고]디지털디자이너양성(컴퓨터그래픽스운용기능사)A,부천우리직업전문학교,88,3273690,30,,
1423,"시각디자인(포토샵, 일러스트, 인디자인, 옥외광고디자인) 양성과정",그린컴퓨터아트학원,103,3820920,20,51.3,27
1424,디지털디자인(포토샵&일러스트),나우직업전문학교,33,730470,20,,29
1425,(일반고) 시각디자인 실무 및 자격취득(컴퓨터그래픽운용스기능사),광주국제직업전문학교,81,3296500,20,53.3,
1426,오토캐드(AutoCAD)입문양성과정,에꼴디자인학원,45,1011420,10,,24
1427,광고콘텐츠디자인(포토샵&일러스트&인디자인),이음컴퓨터디자인학원 영대점,54,1121580,10,,28
1428,멀티미디어콘텐츠제작,센텀직업전문학교,100,4984800,20,69.2,32
1429,[일반고특화]시각디자이너(옥외광고&컴퓨터그래픽스운용기능사)양성과정,국제직업전문학교,91,3208470,25,69.4,17
1430,"시각디자인(일러,포토,인디자인,GTQ자격증,컴퓨터그래픽스(실기))",이젠컴퓨터아트서비스학원,48,1348560,10,47.4,23
1431,웹디자인&그래픽운용기능사실기자격증,윤성회계캐드컴퓨터학원,40,1123800,15,40.5,
1432,"웹디자이너(웹표준, 반응형웹, HTML5+CSS3) 양성과정",그린컴퓨터디자인학원,62,1011420,20,,26
1433,(게임콘텐츠제작)게임그래픽디자이너양성(3D),부산예일직업전문학교,97,4797870,30,43.7,26
1434,"시각영상편집디자인(일러스트,포토샵,프리미어,에펙,모션그래픽)양성과정",그린컴퓨터아카데미 부산,38,1067610,20,54.5,28
1435,웹컨텐츠&모바일앱 디자인,세잔직업전문학교,109,4270440,20,53.1,28
1436,스마트UI/UX웹디자인(웹퍼블리셔)취업과정 E-2,그린컴퓨터아카데미 부산,105,4270440,20,63.4,26
1437,(과정평가형 자격)웹디자인기능사 취득과정 A,그린컴퓨터아트학원 천안,87,2566060,20,,27
1438,유니티(Unity) 프로그래밍 시작하기,(사)한국디지털컨버전스협회,28,62370,500,,
1439,쉽게 배우는 프리미어CC,(사)한국디지털컨버전스협회,28,62370,500,,29
1440,종합편집,(사)한국디지털컨버전스협회,28,62370,500,,40
1441,"한번에 끝내는 영상기획, 영상제작, 영상편집 과정(프리미어)",한국이러닝협회,28,62370,500,,40
1442,[탑강] UX디자인 7가지 비밀,한국이러닝협회,40,149770,500,25,46
1443,PhotoShop(포토샵) CC 한번에 끝내기,(사)한국디지털컨버전스협회,28,62370,500,41,35
1444,영상편집,(사)한국디지털컨버전스협회,28,62370,500,,39
1445,업무에 통하는 일러스트+포토샵 CS6,사단법인 한국에듀테크산업협회,28,121770,500,33.3,39
1446,쉽게 배우는 시네마4D,(사)한국디지털컨버전스협회,28,62370,500,,23
