,과정명,학원명,기간,훈련비,정원,취업률,연령대
1069,바리스타자격증과정(1급2급실기),남경성요리제빵커피직업전문학교,46,1416060,18,71.3,37
1070,"[일반고특화]커피바리스타(1,2급)&제과기능사 자격증 취득 및 실무과정",국제직업전문학교,176,8665920,24,,17
1071,(일반고특화)호텔쉐프양성과정(양식조리기능사+커피바리스타2급포함),한솔요리커피제과제빵아카데미,164,8562900,20,50.6,17
1072,(일반고특화)호텔조리쉐프양성(양식+한식조리기능사 취득과정),한솔요리커피제과제빵아카데미,169,8562900,24,50.6,17
1073,"[일반고특화]양식,한식조리사 양성과정(양식+한식자격증 포함)",한솔요리학원종로3가점,168,8562900,15,48.8,17
1074,커피바리스타,구미직업전문학교,38,1154400,18,61.4,34
1075,"커피 바리스타 전문가 양성과정(로스팅,추출심화,라떼아트)",코코커피바리스타학원,25,769600,12,51.9,34
1076,한식조리기능사 취득과정(이론&실기),이화요리학원,37,835450,13,61.9,47
1077,커피바리스타 자격증 취득 및 실무과정,대전음식나라조리제과제빵학원,38,1154400,12,31.6,52
1078,로스트마스터(로스팅)와 커피지도사1급(핸드드립)자격증 취득과정,성북커피학원,34,1046650,15,44.2,38
1079,바리스타2급자격증취득과정및라떼아트과정,연산국제제빵커피학원,23,692640,16,33.3,43
1080,양식조리기능사+중식조리기능사자격취득과정(이론+실기),군산명문요리직업전문학교,40,911400,12,59.3,38
1081,한식조리기능사 자격취득과정(이론+실기),한빛요리학원,35,797470,12,,41
1082,"일반고_양식조리기능사 자격증 취득 및 호텔조리(양식,중식,한식) 취업준비",한국조리사관직업전문학교,168,8562900,30,45.5,17
1083,"일반고_한식, 양식조리기능사 자격증 취득 및 실무조리 취업준비",한국조리사관직업전문학교,168,8562900,30,45.5,17
1084,"[일반고특화]외식조리사양성(양식,한식자격증취득)",한솔요리제과제빵아카데미,170,8562900,24,40.5,17
1085,[일반고특화]호텔조리사 양성과정(양식한식자격증),한솔요리학원종로3가점,168,8562900,30,48.8,17
1086,"[일반고특화]외식조리셰프양성(양식,한식자격증취득)",한솔요리제과제빵아카데미,170,8562900,30,40.5,17
1087,바리스타심화과정(라떼아트+커피지도사2급+카페음료),천안아산바리스타학원,30,923520,18,,33
1088,"양식조리 브런치 & 샌드위치과정(샌드위치,파스타,카페디저트)",국제조리직업전문학원,32,729120,18,34.5,44
1089,한식조리기능사 & 양식조리기능사 & 중식조리기능사 (이론 및 실기)과정,에듀셰프요리직업전문학교,42,1275960,12,46.1,33
1090,한식조리기능사취득과정(필기/실기),동래김경묘요리학원,26,789880,16,35,31
1091,한식양식조리기능사 자격증 취득과정(이론+실기),남경성요리제빵커피직업전문학교,49,1488620,18,58.4,31
1092,한식조리기능사자격취득과정,(주)한국외식조리직업전문학교 연수점,37,835450,26,58.8,47
1093,"한식,양식조리기능사자격취득과정",(주)한국외식조리직업전문학교,66,1503810,26,66.8,32
1094,커피바리스타 실무자 양성과정(2급 자격증),신세계제과제빵전문학원,30,923520,10,,46
1095,양식조리기능사 자격취득과정(이론/실기),한국제일요리커피학원,27,820260,18,46.4,37
1096,커피관리 양성 및 커피바리스타 자격증 취득과정,다옴직업전문학교,30,1154400,24,82.1,35
1097,(과정평가형) 중식조리기능사,아트요리제과제빵바리스타학원,106,4210270,16,,49
