,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
395,전기기능사 취득 420,종로전기학원,64,2749740,24,57.1,35,서울,중구
396,[합격완벽대비반] 전기기사 필기 과정,한국이러닝협회,56,657020,500,48.4,60,서울,구로구
397,한번에 준비하여 합격하자! 전기기사(필기),한국이러닝협회,56,297000,500,48.4,40,서울,구로구
398,"[렛유인] 반도체 직무별 취업완성 - 공정, 설비 종합과정",한국이러닝협회,56,511710,500,52.9,,서울,구로구
399,"[렛유인] 자동화 산업 공정과정 (인버터,PLC)",한국이러닝협회,28,66370,500,,36,서울,구로구
400,[원패스] 전기 기사/산업기사 실기,사단법인 한국에듀테크산업협회,28,90340,500,60,,서울,강남구
401,[탑강] 회로이론,한국이러닝협회,28,185770,500,48.4,,서울,구로구
402,"[렛유인] 반도체 직무별 취업완성 - 소자, 설계 종합과정",한국이러닝협회,56,411870,500,52.9,,서울,구로구
403,[원패스] 전기기사 필기,사단법인 한국에듀테크산업협회,56,476550,500,60,52,서울,강남구
404,[렛유인] 반도체 핵심 8대 공정 - 종합,한국이러닝협회,56,328650,500,52.9,27,서울,구로구
405,[탑강] 전기자기학,한국이러닝협회,28,185770,500,48.4,,서울,구로구
406,[탑강] 전자산업기사 필기,한국이러닝협회,56,451100,500,,,서울,구로구
407,"[렛유인] 반도체 완전 정복 - 직무, 전공 종합과정",한국이러닝협회,56,602640,500,52.9,,서울,구로구
408,전기(내선)공사 기술자 양성,전북직업능력개발원,125,4910250,20,,40,전북,전주시
409,[탑강] 전자기기기능사 필기,한국이러닝협회,28,136620,500,,,서울,구로구
410,[원패스] 전기공사 기사/산업기사 실기,사단법인 한국에듀테크산업협회,28,111130,500,60,,서울,강남구
411,[올배움] 전자기사 필기 합격대비 과정,한국이러닝협회,28,233960,500,,,서울,구로구
412,"[렛유인] 디스플레이 완전 정복 - 직무, 전공 종합과정",한국이러닝협회,28,228580,500,42.4,27,서울,구로구
413,[합격완벽대비반] 전기기사 실기 과정,한국이러닝협회,28,288280,500,48.4,60,서울,구로구
414,[합격완벽대비반] 전기기능사 필기 과정,한국이러닝협회,28,312980,500,48,47,서울,구로구
415,[원패스] 전기공사기사 필기,사단법인 한국에듀테크산업협회,56,470610,500,60,,서울,강남구
416,[렛유인] 반도체 전공별 취업완성 - 기계공학과,한국이러닝협회,56,459220,500,52.9,,서울,구로구
417,전기기능인A과정(전기기능사필기),신부산전기기술학원,10,471380,11,49,37,경남,창원시
418,전기기능사 필기 취득과정,뉴엠평생교육시설,23,571590,25,,,서울,영등포구
