,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
113,"특수용접실무자 양성과정(co2, Tig)",서울현대직업전문학교 디지털구로캠퍼스,77,3915000,20,,34,서울,구로구
114,특수용접 심화과정,월드용접전문기술학원,40,870000,14,59,39,서울,영등포구
115,"특수용접/피복아크용접 실무 향상(맞대기,가용접)",월드용접전문기술학원,35,1351420,12,,37,충남,천안시
116,파이프용접 실무자 (가스텅스텐아크용접/피복아크용접) 양성,(주)화성직업전문학교,87,5002500,25,84.6,39,경기,화성시
117,특수용접기능사(자격증반),월드용접전문기술학원,60,1740000,14,59,37,서울,영등포구
118,티그용접(TIG용접)실무 구직자과정,군산용접산업설비학원,37,1740000,10,,41,전북,군산시
119,조선/해양 파이프용접(TIG+CO2)인력양성과정,한국산업직업전문학교(구.한국용접직업전문학교),125,9425000,20,83.6,43,부산,사상구
120,특수용접(TIG·CO2)실무 양성과정,탑마이스터용접학원,108,5481000,20,,34,경북,구미시
121,특수용접기능사 취득(실기)과정,월드용접전문기술학원,80,2656960,16,49,38,대전,동구
122,TIG파이프용접(자격증+파이프 6G과정),국제용접학원,99,5002500,20,59.1,47,경남,창원시
123,특수용접 신규 구직자 양성과정,영진직업전문학교,95,5510000,20,69.6,43,경남,김해시
124,특수용접양성과정B반,부산용접&전기직업학교,95,5510000,20,70.4,39,부산,부산진구
125,[과정평가형자격]용접기사 취득과정(B),한국산업직업전문학교(구.한국용접직업전문학교),150,9570000,20,83.6,28,부산,사상구
126,파이프용접(가스텅스텐아크용접+피복아크용접)구직자양성과정,전북용접전문학원,68,3915000,20,80.8,37,전북,군산시
127,[기업맞춤] 특수용접 실무(구조물 도면작성 및 TIG/CO2 용접),(재)한국직업능력교육원(구.열린직업전문학교),109,7917000,25,80.4,32,경기,시흥시
128,"특수용접(TIG,CO2,ARC) 구직자과정",마스터직업전문학교,95,5495500,20,78.6,40,충남,서산시
129,TIG+CO2+피복아크용접 파이프과정,아성직업전문학교,68,3915000,20,,40,경남,김해시
130,"특수용접원 양성과정(CO2, TIG, Arc)",경북산업직업전문학교,101,5075000,25,72.7,39,대구,동구
131,특수용접(필기+실기)자격증과정,DM용접기술학원,42,2392500,18,46.7,34,인천,부평구
132,TIG(알곤)용접,(재)건설기술교육원,41,1160000,25,50,44,인천,남동구
133,특수용접(TIG+CO2)양성,부천특수용접학원,40,1740000,10,,48,경기,부천시
134,조선/해양 파이프용접(TIG+CO2)인력양성과정,한국산업직업전문학교(구.한국용접직업전문학교),125,9425000,20,83.6,34,부산,사상구
135,제철&플랜트용접 신규 구직자 양성과정,재단법인 이찬 경북직업전문학교,109,4712500,24,76.7,30,경북,포항시
136,특수용접,대한상공회의소전북인력개발원,82,3987500,30,78.8,36,전북,군산시
137,용접기능사_과정평가형,(재)대구직업전문학교,91,4148540,20,61.8,34,대구,북구
138,특수용접 실무자(가스텅스텐아크용접/CO2용접) 양성,(주)화성직업전문학교,99,5510000,20,84.6,36,경기,화성시
139,특수용접+아크용접,안산중앙용접학원,90,5220000,20,82.8,44,경기,안산시
140,TIG(파이프)용접 실무양성 과정,서울현대직업전문학교 디지털구로캠퍼스,70,4060000,25,,33,서울,구로구
141,특수용접/피복아크용접 실무-맞대기용접,월드용접전문기술학원,35,1351420,12,,40,충남,천안시
142,과정평가형자격 특수용접기능사(B),영진직업전문학교,75,4567200,20,69.6,40,경남,김해시
143,특수용접/피복아크용접 실무-비드쌓기,월드용접전문기술학원,35,1351420,12,,42,충남,천안시
144,조선/해양 특수용접(TIG+CO2)실무 양성과정,한국산업직업전문학교(구.한국용접직업전문학교),125,9425000,20,83.6,32,부산,사상구
145,"특수용접(TIG,CO2)",(재)대구직업전문학교,62,3262500,20,61.8,45,대구,북구
146,파이프용접(가스텅스텐아크용접+피복아크용접)구직자양성과정,한국전산직업전문학교(주),100,4930000,26,77.4,38,충북,청주시
147,특수용접및파이프용접실무자양성과정,안산특수용접전문학원,70,4060000,20,80.6,46,경기,안산시
148,플랜트 특수용접,(재)이찬 경남직업전문학교,100,5075000,24,87.2,35,경남,창원시
149,용접기능사(실기),수도용접냉동기술학원,52,1131000,20,60.7,33,서울,동대문구
150,특수용접 구직자 양성과정[CO2용접/피복아크용접/가스텅스텐아크용접],한동직업전문학교 주식회사,120,6090000,25,67.7,28,경북,포항시
151,파이프용접실무 구직자 양성과정,경인특수용접학원,99,5002500,24,73.9,41,경기,부천시
152,알곤(티그)용접 취업과정,한빛용접학원,27,1200000,15,,46,경기,고양시
153,수전사 아트페인팅과정,본커스텀직업전문학원,32,1824220,5,63.6,35,부산,사상구
154,파이프용접(가스텅스텐아크용접+CO2용접+전기용접) 양성과정,부천용접직업전문학교,87,5002500,20,70.2,32,경기,부천시
155,가스텅스텐아크용접 신규 구직자 양성과정,한국용접배관기술학원,80,1740000,20,,53,전북,전주시
156,(특수용접)CO2용접구직자입문(CO2용접+TIG용접),한상직업전문학교,103,5220000,20,76.3,53,부산,사상구
157,(특수용접)특수용접 실무용접사양성1,양산기술직업전문학교,95,5510000,20,55.2,46,경남,양산시
158,파이프용접,탑직업전문학교,99,5002500,20,59.3,27,전남,광양시
159,[과정평가형]용접기사 자격 취득 과정(B),이탱크교육(주),112,7137620,20,59,33,경기,성남시
160,용접기능사 취득,진주용접학원,48,1424480,10,,36,경남,진주시
161,가스텅스텐아크(TIG)용접 및 CO2용접 실무자 양성 과정,(재)한국직업능력교육원(구.열린직업전문학교),91,5075000,24,80.4,34,경기,시흥시
162,특수용접 양성과정_A,다옴직업전문학교,109,5510000,25,84.6,39,대구,서구
163,파이프용접,세종직업전문학교,99,5002500,20,,26,전남,순천시
164,TIG용접,대한특수용접학원,30,1740000,20,,40,경남,김해시
165,(특수용접)특수용접기술자양성(A),영진직업전문학교,109,5510000,25,71.7,40,대구,동구
