,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
1295,헤어미용자격증,주식회사에르모소뷰티직업전문학교,80,2069760,18,57.8,25,서울,마포구
1296,미용사(피부) 자격증,일산에르모소직업전문학교,68,1752820,13,70.5,28,경기,고양시
1297,미용사(네일) 자격증 취득반,성심미용예술직업전문학교,60,1552320,18,58.1,27,부산,부산진구
1298,미용사네일 자격증 취득과정,인비뷰티아카데미학원,70,1811040,16,,31,경기,파주시
1299,미용사(네일) 취득과정 (실기) B,로드네일미용학원,60,1552320,10,45.2,34,부산,연제구
1300,피부미용사자격증취득과정,(주)에르모소뷰티직업전문학교김포점,67,1733420,10,66,28,경기,김포시
1301,네일자격증 실기과정,무궁화직업전문학교,70,1811040,18,53.2,30,대구,중구
1302,피부미용자격증취득반,정화뷰티미용학원,60,1940400,10,65.4,32,대구,서구
1303,속눈썹연장 실무,이인자미용직업전문학교,16,401010,20,58.5,34,부산,부산진구
1304,헤어커트&드라이실무반,국제미용직업전문학교,38,970200,12,77.7,41,전북,군산시
1305,네일미용실무과정,이행숙뷰티아카데미,30,1552320,10,58.3,30,서울,강남구
1306,헤어디자인실무반,성심미용예술직업전문학교,40,1034880,18,58.1,35,부산,부산진구
1307,2020 과정평가형자격 미용사(피부)자격증,(주)에르모소뷰티직업전문학교김포점,86,4061010,20,66,29,경기,김포시
1308,헤어미용자격증취득(속성),대전미용직업전문학교,63,1617000,14,37.2,37,대전,중구
1309,헤어미용사자격증취득과정(A),굿모닝뷰티아카데미학원,47,1823970,12,64.4,37,충북,청주시
1310,헤어미용 기초실무과정,금성직업전문학교,40,905520,10,54.1,27,광주,동구
1311,"여행사오퍼레이터(op,예약발권)양성과정",강남2관크루팩토리승무원학원,21,1040160,20,,26,서울,강남구
1312,피부미용 현장실무과정,주식회사에르모소뷰티직업전문학교,42,1086620,10,57.8,34,서울,마포구
1313,미용사(일반) 자격증취득과정,JMB미래이미용직업교육학원,64,2069760,14,80.6,35,경기,평택시
1314,미용사(네일) 국가자격증 취득과정(실기),(주)나레스트 청량리 미용학원,29,1280660,18,62.5,24,서울,동대문구
1315,헤어미용커트실무향상과정,일산비비에스미용학원,40,1000000,10,68.3,37,경기,고양시
1316,피부미용자격증취득(속성),대전미용직업전문학교,52,1293600,10,37.2,26,대전,중구
1317,미용사(네일)자격증 취득과정,엔비뷰티아카데미,52,1733420,10,,28,경기,용인시
1318,미용사(헤어) 자격증취득,무궁화뷰티직업전문학교,80,2069760,20,50.6,38,대구,남구
1319,속눈썹연장과정,에르모소뷰티직업전문학교 안양점,16,413950,10,70.1,27,경기,안양시
1320,"미용사(네일)자격증 취득(필기, 실기)",인천직업전문학교,54,2069760,20,66.4,28,인천,미추홀구
1321,미용사(피부) 자격증 취득과정,미래미용학원,75,1940400,12,26.6,26,광주,광산구
1322,미용사(네일)자격증취득,프로뷰티아카데미학원,83,1875720,10,58.8,24,광주,동구
1323,여행사 및 항공사 지상직 취업연수과정(다),서울현대직업전문학교,32,2465920,30,,19,서울,영등포구
1324,미용사(피부)자격증과정,울산미용직업전문학교,60,1940400,18,68,39,울산,중구
1325,미용사(네일)자격증 취득과정,에르모소뷰티직업전문학교 안양점,40,1811040,10,70.1,33,경기,안양시
1326,미용사(일반) 자격증취득과정,전북직업능력개발원,64,2069760,20,61.5,46,전북,전주시
1327,여행사 오퍼레이터 (항공권 예약/발권) 양성과정 (NCS기반),종로아바CS평생교육원,27,877630,16,,32,서울,종로구
1328,"미용사(헤어일반) 자격증 취득(필기, 실기)",인천직업전문학교,53,2069760,20,66.4,29,인천,미추홀구
1329,미용사(피부)자격증 취득,이인자미용직업전문학교,39,1241850,20,58.5,31,부산,부산진구
1330,헤어미용사(일반)자격증 취득과정,GMB직업전문학교,77,1992140,20,61.2,36,서울,관악구
1331,미용사(피부)자격증,태양미용직업전문학교,61,1940400,10,75.9,34,서울,성동구
1332,미용사(헤어)자격증 취득과정,동서울미용직업전문학교,45,1746360,15,63.4,31,서울,강동구
1333,헤어국가자격증과정,YMCA가넷뷰티아카데미,54,2069760,10,44.5,36,전북,익산시
1334,헤어미용실무과정,첨단미용학원,35,1358280,10,,40,광주,광산구
1335,미용사(일반) 과정평가형자격,국제미용직업전문학교,85,4040640,20,77.7,31,전북,군산시
1336,네일아트 자격증 취득,이인자미용직업전문학교,70,1811040,20,58.5,33,부산,부산진구
1337,호텔&리조트 특화 핵심인력 양성과정A,전원산업(주)르메르디앙서울호텔,39,3102800,25,,20,서울,종로구
1338,웨딩메이크업토탈실무,주식회사에르모소뷰티직업전문학교,40,1034880,10,57.8,31,서울,마포구
1339,헤어미용사 자격증취득과정,한국뷰티예술실용전문학교,54,2069760,20,81.7,34,경기,안산시
1340,미용사(일반)국가기술인력양성과정(자격증),무궁화미용직업전문학교,80,2069760,20,53.4,37,대구,달서구
1341,네일미용자격증취득(속성),대전미용직업전문학교,59,1487640,12,37.2,24,대전,중구
1342,미용사(피부)자격증취득과정,국제미용직업전문학교,43,1940400,12,77.7,34,전북,군산시
1343,미용사(네일)자격증 취득과정,GMB직업전문학교,62,1604060,20,61.2,31,서울,관악구
1344,미용사(피부) 국가자격증 취득과정(실기),(주)나레스트 청량리 미용학원,49,1267720,18,62.5,31,서울,동대문구
1345,미용사(피부)자격증취득반,성심미용예술직업전문학교,60,1552320,18,58.1,29,부산,부산진구
1346,헤어미용자격증취득반,정화뷰티미용학원,64,2069760,20,65.4,36,대구,서구
1347,(과정평가형)헤어자격증 취득과정,무궁화직업전문학교,86,4074600,20,53.2,44,대구,중구
1348,미용사(일반) 헤어자격 취득과정,정용우미용전문학원,54,2063290,14,58.3,40,강원,춘천시
1349,미용사메이크업자격증과정(실기),신단주크리에이티브학원,60,1164240,15,,21,서울,강남구
1350,메이크업 국가자격증 취득과정,(주)나레스트 청량리 미용학원,82,1791120,18,62.5,25,서울,동대문구
1351,메이크업자격증 취득과정,국제미용예술직업전문학교,37,1681680,20,74.6,26,서울,송파구
1352,미용사(일반)자격증취득,현대미용학원,80,2069760,10,65.2,38,충북,충주시
1353,미용사(피부)자격증 취득과정,GMB직업전문학교,59,1526440,20,61.2,34,서울,관악구
1354,미용사(네일)자격증과정,인하직업전문학교,44,1681680,20,77.9,30,인천,미추홀구
1355,미용사(메이크업) 국가자격 취득과정,주식회사예인직업전문학교,65,1642870,12,,33,전북,전주시
1356,헤어미용 실무 연구반,경기미용직업전문학교,40,1034880,10,58.7,42,경기,수원시
1357,미용사(일반)기능사자격취득A,씨씨씨(ccc)미용학원,50,1940400,20,80.9,26,충북,청주시
1358,미용사(네일)자격증 취득 과정,자아연토탈미용학원,85,1642870,12,58.8,28,경남,김해시
1359,미용사(피부) 국가자격 취득과정,주식회사예인직업전문학교,67,1642870,12,,31,전북,전주시
1360,데일리&면접 메이크업과정,(주)에르모소뷰티직업전문학교김포점,18,465690,10,66,36,경기,김포시
1361,미용사(피부)자격증취득과정(A),굿모닝뷰티아카데미학원,41,1923970,15,64.4,37,충북,청주시
1362,헤어미용사(일반) 국가자격 취득과정,주식회사예인직업전문학교,74,1875720,14,,35,전북,전주시
1363,미용사(메이크업)자격증 취득과정,(주)에르모소뷰티직업전문학교김포점,65,1681680,10,66,36,경기,김포시
1364,미용사(피부)국가자격증 취득 과정,용인대학교,60,1552320,20,,27,경기,용인시
1365,"헤어미용 양성(커트,드라이,아이론)",무궁화뷰티직업전문학교,40,1034880,16,50.6,40,대구,남구
1366,미용사(네일) 국가자격 취득과정,주식회사예인직업전문학교,71,1785160,12,,32,전북,전주시
1367,왁싱(제모)과정,주식회사에르모소뷰티직업전문학교,12,310460,10,57.8,28,서울,마포구
1368,네일아트 실무 과정,인천직업전문학교,25,970200,15,66.4,29,인천,미추홀구
1369,메이크업미용사 자격증,일산에르모소직업전문학교,61,1571720,14,70.5,32,경기,고양시
1370,(과정평가형)피부자격증 과정,무궁화직업전문학교,86,4074600,20,53.2,44,대구,중구
1371,헤어커트기초실무과정,BBS미용예술직업전문학교,28,1086620,10,77.8,47,경남,양산시
1372,미용사(헤어)국가자격증 취득과정(실기),(주)나레스트 청량리 미용학원,26,1164240,18,62.5,38,서울,동대문구
1373,미용사(헤어)국가자격증 취득과정(실기),(주)나레스트 청량리 미용학원,26,1164240,18,62.5,39,서울,동대문구
1374,"헤어실무과정(커트,드라이,펌)",제일직업전문학교,38,970200,16,41.7,36,전북,전주시
1375,네일아트자격증 취득과정,동서울미용직업전문학교,34,1319470,12,63.4,27,서울,강동구
1376,네일아트 실무기술 과정,로드네일미용학원,40,776160,10,45.2,28,부산,연제구
1377,(과정평가형)미용사(일반)기능사 국가기술자격 취득과정,문스코직업전문학교,83,3938780,20,63.8,32,경북,경산시
1378,국제(해외)크루즈전문인력양성과정,동의과학대학교 산학협력단,81,9417600,20,,24,부산,부산진구
1379,헤어디자인실무자과정,낙원미용직업전문학교,50,1293600,10,41.7,40,부산,동래구
1380,미용사(일반) 자격증취득,수원뷰티실용전문학교,80,2069760,20,73.2,31,경기,수원시
1381,미용사일반(헤어)자격증 취득과정,(주)에르모소뷰티직업전문학교김포점,80,2069760,15,66,33,경기,김포시
1382,미용사(피부)자격증과정,제일직업전문학교,75,1940400,15,41.7,24,전북,전주시
1383,(이론+실기)미용사(일반)자격취득과정B,JES미용예술직업전문학교,40,2069760,20,67.2,40,서울,영등포구
1384,네일아트자격증과정,미앤지뷰티직업전문학원,60,1552320,15,60,32,전북,군산시
1385,"피부 실무(왁싱, 한국형 특수관리) 과정",자아연토탈미용학원,29,750280,20,58.8,34,경남,김해시
1386,헤어미용사(일반)자격증,엠뷰티아카데미,68,1759290,10,73.8,40,서울,양천구
1387,미용사(피부) 자격증 취득+뷰티 크리에이터,수성대학교,75,1940400,20,20.7,28,대구,수성구
1388,(2020과정평가형)네일미용사자격증,엠뷰티아카데미,72,3395500,20,73.8,30,서울,양천구
1389,네일미용자격증취득,대전미용직업전문학교,53,1714020,12,37.2,28,대전,중구
1390,미용사(메이크업)자격증 취득과정,스타토리미용학원,70,1558280,10,,25,서울,강남구
1391,헤어미용사 자격증,일산에르모소직업전문학교,68,1746360,14,70.5,43,경기,고양시
1392,네일미용 국가자격증 취득과정,부천나레스트서연피부미용미용학원,86,1655800,10,,35,경기,부천시
1393,피부미용사 국가자격증 취득과정,부천나레스트서연피부미용미용학원,70,1811040,18,,30,경기,부천시
1394,"헤어미용 실무향상 과정(커트,펌,드라이,컬러)",국제미용예술직업전문학교,35,1552320,20,74.6,42,서울,송파구
1395,네일아트 기술과정 (핸드페인팅&융합),BMB미용예술학원,30,776160,11,46.5,29,대구,중구
1396,헤어미용커트실무향상과정,일산비비에스미용학원,40,1000000,10,68.3,49,경기,고양시
1397,헤어미용 입문과정,미래미용학원,80,2069760,13,26.6,40,광주,광산구
1398,피부미용왁싱전문가반,정화뷰티미용학원,16,517440,10,65.4,32,대구,서구
1399,장례지도사 취득과정,(주)오늘라이프강남장례지도사교육원,39,1290000,20,45,39,서울,종로구
1400,네일실무&드릴,주식회사에르모소뷰티직업전문학교,42,1086620,10,57.8,30,서울,마포구
1401,헤어미용사(일반)자격증과정,미아트미용학원,78,2005080,12,,43,경기,성남시
1402,예약발권(CRS)자격증 취득(여행사&항공사지상직),양정인력개발센터,20,520080,15,,27,부산,부산진구
1403,네일미용사 자격증 취득 속성과정,우석미용학원,53,1371210,10,49.3,29,서울,서대문구
1404,메이크업미용사자격증취득과정,주식회사에르모소뷰티직업전문학교,62,1604060,10,57.8,27,서울,마포구
1405,미용사(일반) 취득과정-헤어,이행숙뷰티아카데미,75,1940400,20,58.3,41,서울,강남구
1406,미용사(네일)자격증취득,노원미용학원,73,1875720,15,59.3,26,서울,노원구
1407,속눈썹 연장과정,주식회사에르모소뷰티직업전문학교,16,413950,10,57.8,31,서울,마포구
1408,피부미용자격증 취득과정,이행숙뷰티아카데미,60,1552320,14,58.3,26,서울,강남구
1409,헤어디자이너 심화과정,주안미용학원,43,1655800,12,50,46,,
1410,(과정평가형)헤어미용양성과정,BBS미용예술직업전문학교,80,3789370,24,79.6,35,경기,성남시
1411,피부미용사 자격증(실기),아트앤뷰티아카데미,34,1319470,12,,28,인천,남동구
1412,속눈썹미용실무과정,(주)에르모소뷰티직업전문학교김포점,16,413950,10,66,31,경기,김포시
