,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
125,요양보호사 자격 취득과정,연세요양보호사교육원,31,680000,34,,53,세종,
126,요양보호사자격증취득과정,주은요양보호사교육원,30,641520,32,55.7,58,경기,고양시
127,요양보호사 자격증 취득(사회복지사자격증소지자),보라매요양보호사교육원,12,250000,29,,48,서울,영등포구
128,요양보호사자격증취득과정,인천검단보람요양보호사교육원,30,570000,40,52.6,57,인천,서구
129,"요양보호사 자격증취득과정(주,야간)",뉴시흥요양보호사교육원,30,540000,35,,58,경기,시흥시
130,요양보호사자격증취득과정,성산요양보호사교육원,30,564000,33,56.8,55,부산,중구
131,요양보호사 자격취득과정(NCS과정),호남간호요양보호사교육원,30,641520,22,41.3,51,광주,광산구
132,요양보호사 자격 취득과정,삼성실버요양보호사교육원,39,640080,40,59.8,57,부산,북구
133,요양보호사 자격증 취득과정,구미요양보호사교육원,30,600000,40,49.1,49,경북,구미시
134,간호조무사 자격 취득과정,한나간호학원,197,2901680,23,68.6,32,부산,금정구
135,요양보호사 자격취득 교육과정,더큰요양보호사교육원,30,510000,36,53.3,53,경기,시흥시
136,요양보호사 국가자격증 취득과정,굿모닝요양보호사교육원,30,450000,30,,56,서울,관악구
137,요양보호사 자격 취득과정,원주간호학원부설요양보호사교육원,30,600000,30,62.6,57,강원,원주시
138,요양보호사 자격 취득과정,영남요양보호사교육원,30,640800,40,64.5,54,경북,경산시
139,보험심사평가사 자격증 취득과정,테레사간호학원,12,1000000,30,,49,경기,수원시
140,요양보호사자격증취득과정,새빛요양보호사교육원,30,600000,31,57.6,53,서울,송파구
141,요양보호사 자격 취득과정,VIP요양보호사교육원,30,540000,34,,56,경기,수원시
142,요양보호사 자격 취득과정,경북요양보호사교육원,30,600000,40,50.6,52,대구,달서구
143,"요양보호사 자격증취득(주간,야간)",아름다운세상만들기요양보호사교육원,30,540000,40,55.8,58,서울,강서구
144,요양보호사 자격증 취득(일반 NCS적용),더나은요양보호사교육원,30,600000,30,33.3,59,서울,강서구
145,요양보호사 취득과정,현대요양보호사교육원,30,638400,25,55.1,59,광주,남구
146,요양보호사 자격 취득(오전),금정요양보호사교육원,30,600000,40,48.1,53,부산,금정구
147,요양보호사국가자격증취득,수원누네요양보호사교육원,30,510000,27,,57,경기,수원시
148,NCS 요양보호사 자격 취득과정,성모요양보호사교육원,30,600000,38,57.3,53,인천,부평구
149,요양보호사 자격 취득과정,화원요양보호사교육원,38,640080,40,53.2,55,대구,달성군
150,요양보호사 자격증 취득,다사랑요양보호사교육원,30,641520,37,53.3,55,울산,남구
151,요양보호사 자격증취득과정,고려요양보호사교육원,30,650000,20,,50,전북,익산시
152,병원코디네이터 및 상담실장 양성과정(NCS기반),종로아바CS평생교육원,22,609730,20,36.8,41,서울,종로구
153,요양보호사 자격 취득과정,예산간호학원부설 요양보호사교육원,59,641280,30,87.5,59,충남,예산군
154,요양보호사 자격 취득과정,케어대한요양보호사교육원,30,540000,40,51.4,53,인천,남동구
155,요양보호사 자격소지반(사회복지사)과정,안양벧엘요양보호사교육원,12,200000,30,60.9,50,경기,안양시
156,요양보호사 자격취득과정,열린요양보호사교육원,50,540000,40,56,56,서울,광진구
157,요양보호사 자격증 취득과정(사회복지사 자격증 소지반),광주역요양보호사교육원,12,200000,20,52.2,45,경기,광주시
158,NCS 요양보호사국가 자격증취득과정,경인요양보호사교육원,30,640080,40,56.2,56,경기,부천시
159,요양보호사 자격 취득과정,민들레요양보호사교육원,30,500160,37,63.2,51,충북,청주시
160,요양보호사자격취득,김해사랑요양보호사교육원,30,600000,40,49.2,54,경남,김해시
161,요양보호사자격증취득과정(이론+실기),실버엔젤요양보호사교육원,30,630000,30,59.1,57,경기,김포시
162,요양보호사 자격취득과정,홍주요양보호사교육원,33,641520,30,57.3,58,충남,홍성군
163,요양보호사자격취득과정,엠마오요양보호사교육원,30,510000,40,53.5,55,서울,중랑구
164,요양보호사 자격취득과정,새소망전국요양보호사교육원,30,450000,40,62.9,54,경기,남양주시
165,요양보호사 양성과정,언약요양보호사교육원,30,510000,40,53.1,57,서울,강동구
166,요양보호사 자격증 취득과정(실업자),전주메디칼요양보호사교육원,31,624000,30,53,56,전북,전주시
167,요양보호사자격증 취득과정,상록요양보호사교육원,30,510000,33,47.3,55,경기,안산시
168,요양보호사자격증취득과정,익산성모요양보호사교육원,30,650000,35,66,54,전북,익산시
169,요양보호사자격증취득과정,햇빛요양보호사교육원,30,510000,40,66.3,56,서울,도봉구
170,요양보호사 국가자격증 취득과정,글로벌간호학원부설요양보호사교육원,30,641520,34,52.7,54,울산,남구
171,요양보호사자격증취득과정,드림요양보호사교육원,30,641520,29,45.2,53,울산,중구
172,요양보호사(자격증 취득과정),효요양보호사교육원,30,600000,30,,56,인천,중구
173,요양보호사자격증 취득,새고려요양보호사교육원,30,600000,30,50,55,부산,금정구
174,요양보호사 자격증 취득과정,종로요양보호사교육원,30,641280,37,67.6,56,전북,정읍시
175,요양보호사 자격취득과정(NCS과정),호남간호요양보호사교육원,37,641520,22,41.3,50,광주,광산구
176,요양보호사 자격 취득과정 - 실업자,(주)엔젤21세기부설엔젤요양보호사교육원,30,450000,35,47.4,57,서울,관악구
177,요양보호사 자격증 취득과정,진해간호요양보호사교육원,37,630000,30,35.5,55,경남,창원시
178,요양보호사 자격 취득과정,나이팅게일간호학원부설요양보호사교육원,30,500160,39,48,58,대전,중구
179,간호조무사 자격 취득과정,(주)미즈간호학원,191,2527760,29,78.7,39,대전,서구
180,요양보호사 국가자격증 취득과정,(주)해피요양보호사교육원,30,510000,40,,58,경기,부천시
181,요양보호사 자격증 취득 과정,산재요양보호사교육원,30,550080,36,52.8,57,경기,부천시
182,요양보호사 자격 취득과정(사회복지사 자격증 소지자),BHS좋은요양보호사교육원,12,250000,40,38.9,46,부산,부산진구
183,요양보호사 자격 취득과정,BHS좋은요양보호사교육원,38,630000,40,38.9,58,부산,부산진구
184,요양보호사 자격 취득과정,프레이즈요양보호사교육원,30,451200,25,49.4,50,서울,동작구
185,요양보호사국가자격과정,포항한국간호전문학원 부설 한국요양보호사교육원,30,550080,35,51.6,56,경북,포항시
186,요양보호사 자격증 취득과정,풍성한요양보호사교육원,30,510000,32,47.6,53,경기,안산시
187,요양보호사 국가자격 국시대비,인천예원요양보호사교육원,30,540000,40,44.8,58,,
188,요양보호사 자격증 취득과정,진해보금요양보호사교육원,30,600000,40,45.7,55,경남,창원시
189,요양보호사 자격 취득과정,대성요양보호사교육원,60,600000,36,63.6,54,경기,군포시
190,요양보호사 자격증 취득과정 (주간),강릉직업전문학교부설 요양보호사교육원,42,550080,30,56.9,51,강원,강릉시
191,요양보호사 자격증 취득과정(신규자),효성요양보호사교육원,32,540000,40,53.2,54,서울,강북구
192,요양보호사자격증취득(국가자격증),노아요양보호사교육원,41,570000,40,52,57,인천,미추홀구
193,요양보호사 자격 취득과정,김해중앙복지전문학원부설요양보호사교육원,30,641520,29,,55,경남,김해시
194,요양보호사양성과정(자격증),거제요양보호사교육원,33,600000,40,50,54,경남,거제시
195,요양보호사 양성과정,연수요양보호사교육원,30,600000,40,50,53,인천,연수구
196,요양보호사지격증취득대비반,마두요양보호사교육원,30,640800,40,54.8,58,경기,고양시
197,요양보호사 자격 취득과정,효경요양보호사교육원,30,570000,33,,54,대구,달서구
198,(NCS) 요양보호사 자격 취득과정,조은요양보호사교육원,30,540000,40,47.3,56,인천,계양구
199,요양보호사 자격증 취득과정,미래간호학원부설요양보호사교육원,33,640080,40,53.2,56,대구,북구
200,요양보호사 자격취득과정,섬기미요양보호사교육원,30,640080,40,52,55,대구,동구
201,병원코디네이터 양성과정,한국종합교육원,20,554300,15,,35,서울,강남구
202,요양보호사 자격 취득과정,참좋은요양보호사교육원,33,600000,40,45.7,54,부산,남구
203,요양보호사자격취득과정,호원요양보호사교육원,30,510000,30,,54,경기,안산시
204,요양보호사 자격취득과정,이천요양보호사교육원,61,630000,32,60.5,57,경기,이천시
205,Basic 비NCS 요양보호사 양성과정,인천일신요양보호사교육원,33,540000,40,62.2,53,인천,부평구
206,요양보호사자격증취득과정,참사랑요양보호사교육원,30,500160,30,63,52,충북,청주시
207,요양보호사 양성과정 사회복지사 국가자격증 소지자반,인천일신요양보호사교육원,11,250000,40,62.2,47,인천,부평구
208,요양보호사국가자격증취득과정,참사랑요양보호사교육원,57,500160,40,63,54,충북,청주시
209,요양보호사취득-국가자격(사회복지사)소지자반,케어대한요양보호사교육원,12,250000,40,51.4,50,인천,남동구
210,요양보호사자격증취득과정,금천요양보호사교육원,55,590400,38,53.5,51,서울,금천구
211,요양보호사 자격증 취득과정,새롬요양보호사교육원,30,641520,30,45.6,56,울산,동구
212,요양보호사자격취득과정,가톨릭요양보호사교육원,30,500160,40,,61,대전,동구
213,요양보호사 자격증 취득과정,집으로요양보호사교육원,30,540000,34,57.3,53,경기,의정부시
214,"요양보호사자격취득과정(신규,2019-2)",미래요양보호사교육원,36,640800,40,54.3,56,대구,달서구
215,요양보호사 자격취득과정,봉동요양보호사교육원,37,641520,30,51.6,51,전북,완주군
216,요양보호사자격취득과정,베스트요양보호사교육원,30,640080,35,42.3,53,광주,서구
217,요양보호사 자격 취득과정,성모요양보호사교육원,30,550000,33,46.6,57,대구,남구
218,요양보호사자격증 취득과정,샘물요양보호사교육원,42,641520,32,69.4,53,경남,통영시
219,"요양보호사 양성과정(간호조무사,물리치료사,작업치료사 자격취득자)",부천중부요양보호사교육원,12,200000,40,52.4,46,경기,부천시
220,요양보호사자격증취득과정,산돌요양보호사교육원,49,641520,30,71.4,56,충남,보령시
221,요양보호사 자격취득과정,새늘요양보호사교육원,30,600000,40,52.8,53,경기,평택시
222,요양보호사 자격증 취득과정(사회복지사),종로요양보호사교육원,12,168400,37,67.6,47,전북,정읍시
223,요양보호사자격증취득,삼산요양보호사교육원,30,641520,34,36.2,61,울산,중구
224,요양보호사자격취득과정,아름다운요양보호사교육원,35,499200,35,58.2,52,경기,수원시
225,요양보호사자격증 취득과정,한국실버요양보호사교육원,30,468000,30,50.5,58,서울,관악구
226,요양보호사 자격 취득과정,김해중앙복지전문학원부설요양보호사교육원,50,641520,29,,51,경남,김해시
227,요양보호사 자격 취득과정,(주)한국요양보호사교육원,35,540000,30,53.5,55,서울,마포구
228,요양보호사 자격 취득과정,엘림평생요양보호사교육원,30,641520,33,,55,부산,동구
229,요양보호사(NCS) 양성과정,한국시니어요양보호사교육원,33,640080,27,57.9,60,서울,중랑구
230,요양보호사자격취득과정,은혜요양보호사교육원,30,540000,38,44.3,55,서울,양천구
231,요양보호사 자격 취득과정(주간반),한양요양보호사교육원,33,480000,40,47,58,충남,천안시
232,요양보호사 국가자격증 취득과정,하단레몬요양보호사교육원,33,600000,40,49.4,51,부산,사하구
233,요양보호사자격취득과정,안산요양보호사교육원,30,500000,35,,56,경기,안산시
234,요양보호사1급자격증과정,인성요양보호사 교육원,46,600000,40,55.3,57,대구,북구
235,"요양보호사 국가 자격증 취득과정 (요양지원, 간병인)",남동요양보호사교육원,30,540000,40,51.5,52,인천,남동구
236,요양보호사 자격취득과정,열린요양보호사교육원,30,540000,40,56,58,서울,광진구
237,요양보호사 자격 취득과정(A),전주안골간호학원부설요양보호사교육원,37,600000,40,48.6,57,전북,전주시
238,요양보호사 자격 취득과정,삼송요양보호사교육원,30,600000,30,,53,경기,고양시
239,요양보호사 자격증 취득,한빛요양보호사교육원,30,499920,30,47.3,57,대전,중구
240,요양보호사 자격취득-사회복지사,경인요양보호사교육원,11,250000,40,56.2,51,경기,부천시
241,요양보호사자격증취득과정,영광요양보호사교육원,50,650000,40,54.3,55,경북,영주시
242,요양보호사자격증취득과정,김포간호학원부설요양보호사교육원,35,600000,32,65,59,경기,김포시
243,요양보호사 자격증 취득과정,송천탑클래스간호학원부설요양보호사교육원,33,600000,30,57.1,53,전북,전주시
