,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
122,패션디자인 및 의류생산 실무자 양성(웨어러블 패션디자인),(재)로이교육재단 경문실용전문학교,107,5476650,30,87,29,인천,부평구
123,패션디자인산업기사(2020과정평가형),(주)실과바늘 직업전문학교,99,4788630,20,,32,서울,서대문구
124,여성복 실무자 양성,권오탁패션학원,48,1451520,15,,45,대구,중구
125,스마트패션디자인,중앙직업전문학교,134,5785200,24,81,31,대구,중구
126,한복제작양성과정,여의패션디자인학원,44,1572480,12,,40,경북,포항시
127,스마트 캐포츠 패션디자인 의류제작 과정,마이스터직업전문학원,120,5399520,15,42.6,49,인천,연수구
128,천연염색과 봉제,천연패션학원,34,604800,15,,50,대구,수성구
129,패션양장기능사자격증취득과정(실기),오뜨리패션디자인학원,62,1562000,10,46.2,33,서울,동대문구
130,가죽활용 의류제작 & 홈패션,한국평생직업학원,60,1814400,10,,42,대구,동구
131,스타일테크 패션디자인 취업과정,서울패션직업전문학교,111,4994550,18,60,23,서울,마포구
132,여성복 샘플제작 실무과정,오뜨리패션디자인학원,61,1531760,10,46.2,40,서울,동대문구
133,의류메이킹 수선,한밭직업전문학교,75,1710000,16,81.4,44,대전,중구
134,양장기능사(실기)자격증취득,문은영패션디자인학원,83,1512000,10,,36,전북,전주시
135,패션패턴메이킹양성과정,경주패션디자인학원,36,1306360,10,33.3,39,경북,경주시
136,의류&홈패션제품생산(양성과정),이솜패션기능학원,32,1149120,10,,39,대구,서구
137,한복제작,시안침선교육학원,50,1693440,10,,49,대구,수성구
138,반려견 의상제작 과정,안양패션디자인학원,30,725760,15,,42,경기,안양시
139,홈패션소품및의류제작,이플문화센터,28,997920,15,30,47,경기,고양시
140,의상제작입문,문은영패션디자인학원,36,1088640,10,,31,전북,전주시
141,인체의 움직임을 고려한 스마트 테크놀로지 패션,강남직업전문학교,150,5785200,20,63.3,54,광주,북구
142,아동의류제작,한밭직업전문학교,44,1210000,20,81.4,41,대전,중구
143,홈패션 및 의류제작실무과정,한빛정보직업전문학교,50,1512000,15,45.5,50,대구,달성군
144,봉제(양성과정),이솜패션기능학원,47,846720,10,,44,대구,서구
145,패턴캐드와 디지털패션디자인,부산패션디자인학원,100,5129540,20,62.7,35,부산,동래구
146,웨어러블 패션디자인&패턴메이킹 및 봉제실무양성과정,i센스직업전문학교,128,5759480,20,71.4,55,대구,중구
147,의류제작실무양성-여성복 패턴,숙명패션디자인학원,75,1928400,15,48,36,대전,서구
148,의류패턴제작과 봉제,뉴패션디자인학원,43,1560380,15,,48,광주,남구
149,패션의류 제작과정,정수향당패션학원,40,1209600,15,28.6,52,대구,서구
150,양장기능사 취득과정,시안침선교육학원,40,1512000,10,,38,대구,수성구
151,의류제작수선,구미제일패션학원,60,2177280,15,50,41,경북,구미시
152,패션의류제작(생활복)과정,평생문화직업전문학원,17,616890,10,46.7,22,전북,전주시
153,[일반고특화]스마트패션디자인 및 양장기능사 취득,수원직업전문학교(구.경기남부직업전문학교),96,4123380,20,,,경기,수원시
154,양장기능사 취득 (실기),숙명패션디자인학원,50,1607000,15,48,46,대전,서구
155,생활한복 및 한복기능사 실기대비과정,(주)오마쥬서문직업전문학교,50,1814400,20,,53,대구,달서구
156,양장기능사 하의,선경패션학원,50,1570000,10,,48,울산,북구
157,[과정평가형]패션디자인 산업기사 자격 취득과정,서면미리벌직업전문학교,93,4456950,20,,39,부산,부산진구
158,[과정평가형] 한복기능사 자격 취득과정,서면미리벌직업전문학교,86,3810000,20,62.5,40,부산,부산진구
159,의류패턴 및 봉제(기초),중랑여성인력개발센터,45,1088640,15,,44,서울,중랑구
160,의류제직/홈패션제품제작(기초양성과정),이솜패션기능학원,26,786240,15,,32,대구,서구
161,패턴과 의복제작,(주) 김해직업전문학교,25,964200,20,,,경남,김해시
162,의류제작실무양성-실용복 패턴,숙명패션디자인학원,34,1092760,15,48,38,대전,서구
163,테크니컬 패션디자인,(주) 김해직업전문학교,120,4949560,20,60,41,경남,김해시
164,빅데이터를 활용한 패션디자인 A,한국패션실용전문학교,118,4949560,18,78.4,25,서울,종로구
165,한복제작,국제섬유패션학원,50,1814400,10,,,대구,중구
166,생활한복제작입문,문은영패션디자인학원,39,1161210,10,,48,전북,전주시
167,패션메이킹 양성,한밭직업전문학교,50,1209600,16,81.4,46,대전,중구
168,3D CLO를 활용한 패션디자인실무과정,라사라패션직업전문학교(본교),125,5399520,20,71.8,25,서울,마포구
169,패션디자인을 위한 샘플패턴봉제,글로벌패션학원,60,1157040,14,59.8,42,서울,중구
170,패션디자인 스페셜리스트 양성과정,글로벌패션학원,100,1928400,14,59.8,31,서울,중구
171,패턴디자인봉제실무과정,여의패션디자인학원,44,1572480,12,,36,경북,포항시
172,여성아우터 의류제작,에크루패션디자인학원,40,967680,12,,38,대전,중구
173,여성복제작실무,디엠패션학원,50,1209600,10,27.3,41,서울,송파구
174,패션디자인B,(주)능력개발원새일다밀,120,4628160,20,66.7,45,대구,남구
175,"천연염색을 활용한 패션의복제작 (원피스, 쟈켓)",천연패션학원,60,1088640,15,,51,대구,수성구
176,패션디자인 및 제작(아두이노활용),경상직업전문학교,122,4705290,20,61.1,,대구,달서구
177,생활한복제작실무과정,고려패션전문학원,27,1306360,20,,48,서울,종로구
178,애견패션 2급 자격증과정,한국평생직업학원,46,1391040,10,,33,대구,동구
179,의류제작 및 양장기능사실기과정,(주)오마쥬서문직업전문학교,41,1512000,20,,53,대구,달서구
180,의류패턴제작과 봉제,동작여성인력개발센터,45,1088640,10,36,48,서울,동작구
181,센서컨트롤러가 연결된 스마트의류디자인,권미란패션학원,60,3085440,20,90.9,56,경북,경주시
182,스마트패션의류제작,코디잡평생교육원,112,4821000,14,64.7,43,,
183,(패션디자인)스마트융합 의류패턴과정,안양패션디자인학원,65,2288360,20,48.1,33,경기,안양시
184,의류수선과정,선경패션학원,60,1890000,15,,41,울산,북구
185,의류패턴 제작과 봉제,모다인패션디자인학원,50,1928400,12,58.3,34,광주,동구
186,디지털패션디자인 실무양성과정(스마트보드 활용),서면미리벌직업전문학교,136,6093740,20,53.8,33,부산,부산진구
187,한복제작실무과정,고려패션전문학원,38,2244400,20,,40,서울,종로구
188,(패션디자인)스마트패션의류봉제,영진직업전문학교,131,5785200,20,75.7,37,대구,동구
189,3D활용 스마트패션디자인(의류제작) 과정,청주패션디자인학원,146,5746630,15,46.7,39,충북,청주시
190,의류제작실무양성-수선 패턴,숙명패션디자인학원,75,1928400,15,48,37,대전,서구
191,기초패턴및의상제작,이플문화센터,28,997920,15,30,45,경기,고양시
192,생활한복과 의류제작과정,여의패션디자인학원,44,1572480,12,,42,경북,포항시
193,의상제작 양성과정,평생문화직업전문학원,30,1088640,10,46.7,45,전북,전주시
194,스마트패션디자인,중앙직업전문학교,134,5785200,24,81,36,대구,중구
195,천연염색과 봉제,천연패션학원,17,604800,15,,57,대구,수성구
196,입문자 양재구성,청강패션학원,50,1814400,12,,53,대구,달서구
