,과정명,학원명,기간,훈련비,정원,취업률,연령대
94,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,29
95,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,27
96,회생파산 및 송무법률사무취업과정,구미직업전문교육센터,35,702240,27,,40
97,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,37
98,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,26
99,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,50
100,소방설비(산업)기사전기필기실기,중앙소방안전학원,33,614690,60,57.1,48
101,소방설비(산업)기사기계필기실기,중앙소방안전학원,33,614690,60,57.1,46
102,"강제집행및회생파산,형사소송절차실무 법률사무원양성과정",국민법률세무교육원,21,936320,30,61.8,35
103,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,30
104,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,40
105,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,45
106,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,
107,법률사무원 양성,삼일직업전문학교,24,936320,20,31.3,39
108,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,27
109,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,29
110,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30
111,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,34,,32
112,소방설비기사/산업기사 자격취득반(전기실기+전기전공),대영소방전문학원,18,558810,60,58.3,43
113,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,51
114,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,42
115,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,53
116,행정법률사무원 취업과정,탑직업교육센터,15,802560,12,,44
117,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,25,1100000,23,64.3,49
118,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,30,1100000,23,64.3,49
119,위험물기능사 자격증취득(실기),여수노진식취업멘토학원,13,310450,35,,23
120,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,19,1100000,23,64.3,49
121,(과정평가형)소방설비산업기사(전기),재단법인 이찬 경북직업전문학교,97,4338100,24,,38
122,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,44
123,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,43
124,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,30
125,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,32
126,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,43
127,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,29
128,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,28
129,법률사무원 취업과정,아바평생교육원,28,936320,11,,
130,법률사무원 취업과정,아바평생교육원,28,936320,11,,
131,행정법률사무원 취업과정,탑직업교육센터,24,802560,12,,31
132,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,32
133,법률사무원 취업과정,아바평생교육원,28,936320,11,,
134,법률사무원 취업과정,에이치알디(HRD)수원평생교육원,40,936320,18,,
135,회생파산 및 송무법률사무취업과정,대구항공여행평생교육원,14,702240,20,,
136,회생파산 및 송무법률사무취업과정,구미직업전문교육센터,35,702240,27,,
137,개인회생 및 파산 법률사무취업과정,에스앤에스로펌인사노무학원,11,300960,23,,31
138,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,25
139,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,
140,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,44
141,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,25,1100000,23,64.3,
142,소방설비기사/산업기사 자격취득반(기계분야),대영소방전문학원,25,745080,31,58.3,42
143,법률사무원 취업과정,아바평생교육원,28,936320,11,,
144,법률사무원 취업과정,아바평생교육원,18,936320,11,,
145,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,
146,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,
147,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,
148,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,
149,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,
150,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,38
