,과정명,학원명,기간,훈련비,정원,취업률,연령대
202,Wowpass! 주택관리사 1차 회계원리(이론+문제풀이) 합격반,한국이러닝협회,56,291060,500,,
203,Wowpass! 주택관리사 2차 주택관리관계법규 합격반,한국이러닝협회,28,166320,500,,
204,주택관리사(1차이론반),한국이러닝협회,56,430460,500,,
205,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,
206,주택관리사_주택관리관계법규,한국이러닝협회,40,121770,500,,
207,Wowpass! 주택관리사 1차 민법(이론+문제풀이) 합격반,한국이러닝협회,66,198990,500,,51
208,Wowpass! 주택관리사 1차 공동주택시설개론(이론+문제풀이) 합격반,한국이러닝협회,83,249480,500,,51
209,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,209140,500,,
210,Wowpass! 주택관리사 1차 공동주택시설개론(이론+문제풀이) 합격반,한국이러닝협회,56,249480,500,,50
211,주택관리사(2차이론반),한국이러닝협회,28,254930,500,,
212,주택관리사_공동주택관리실무,한국이러닝협회,30,92070,500,,
213,주택관리사_민법,한국이러닝협회,40,121770,500,,60
214,Wowpass! 주택관리사 2차 공동주택관리실무 합격반,한국이러닝협회,28,151470,500,,
215,주택관리사 자격대비반(민법),한국이러닝협회,50,183470,500,,
216,주택관리사_공동주택시설개론,한국이러닝협회,47,142560,500,,
217,Wowpass! 주택관리사 1차 민법(이론+문제풀이) 합격반,한국이러닝협회,28,198990,500,,
218,"쇼핑몰(오픈마켓,스마트스토어) 판매자 양성과정",서울IT직업전문학교,40,1380800,20,43.9,42
219,"글로벌셀러(이베이, 아마존) 양성 과정",서울IT직업전문학교,12,414240,20,43.9,38
220,전자상거래 오픈마켓 쇼핑몰 홈페이지 구축,열린컴퓨터학원,40,1380800,10,43.3,37
221,쇼핑몰 상품사진 촬영 및 상세페이지(이미지) 리터칭 과정,서울IT직업전문학교,10,345200,20,43.9,39
222,주택관리사_공동주택관리실무,한국이러닝협회,30,92070,500,,
223,주택관리사_주택관리관계법규,한국이러닝협회,40,121770,500,,
224,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,58
225,주택관리사_민법,한국이러닝협회,40,121770,500,,47
226,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,
227,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,209140,500,,
228,주택관리사 자격대비반(민법),한국이러닝협회,50,183470,500,,47
229,주택관리사_공동주택시설개론,한국이러닝협회,47,142560,500,,54
230,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,
231,전자상거래 디지털마케팅 실무자 양성과정,도와세움 평생교육센터,25,1400000,38,,27
232,카페24 쇼핑몰 구축과 운영,뉴컴퓨터학원,40,1380800,10,50,32
233,빅데이터 활용 웹미디어 콘텐츠 마케터,목포대학교,94,7794500,10,,24
234,쇼핑몰 상품사진 촬영 및 상세페이지(이미지) 리터칭 과정,서울IT직업전문학교,10,345200,20,43.9,37
235,전자상거래 디지털마케팅 및 PR 실무자 양성과정,도와세움 평생교육센터,36,2000000,38,,25
236,포토샵/일러스트 활용 오픈마켓/쇼핑몰 상세페이지 마케팅(온라인 마케팅1),와이리더스 컴퓨터학원,40,1380800,12,50,35
237,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,39
238,"쇼핑몰(오픈마켓,스마트스토어) 판매자 양성과정",서울IT직업전문학교,40,1380800,20,43.9,38
239,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,57
240,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,209140,500,,46
241,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,
242,주택관리사 자격대비반(민법),한국이러닝협회,50,183470,500,,47
243,주택관리사_공동주택관리실무,한국이러닝협회,30,92070,500,,
244,주택관리사_민법,한국이러닝협회,40,121770,500,,43
245,주택관리사_공동주택시설개론,한국이러닝협회,47,142560,500,,49
246,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,
247,주택관리사_주택관리관계법규,한국이러닝협회,40,121770,500,,56
248,해외 인터넷 쇼핑몰(아마존) 판매 기초 실무,씨이오창조인재개발원,50,1380800,15,53.3,39
249,카페24로 온라인 쇼핑몰 구축과 운영,뉴컴퓨터학원,69,952750,10,50,49
250,네이버 쇼핑몰 제작,부산나래디자인학원,38,1035600,10,70.2,39
251,쇼핑몰 창업과 마케팅 (포토샵 / 카페24 / 블로그 / 상품촬영),수성컴퓨터학원,49,1380800,15,,36
252,"온라인 오픈마켓 판매와 운영(스마트스토어, 옥션, 지마켓)",뉴컴퓨터학원,69,952750,10,50,48
253,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,
254,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,
255,주택관리사_민법,한국이러닝협회,40,121770,500,,49
256,주택관리사 자격대비반(민법),한국이러닝협회,50,183470,500,,52
257,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,
258,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,209140,500,,53
259,주택관리사_공동주택관리실무,한국이러닝협회,30,92070,500,,50
260,주택관리사_주택관리관계법규,한국이러닝협회,40,121770,500,,
261,주택관리사_공동주택시설개론,한국이러닝협회,47,142560,500,,53
262,웹디자인&쇼핑몰 제작,부산나래디자인학원,45,1242720,10,70.2,34
263,쇼핑몰 창업과 마케팅 (포토샵 / 카페24 / 블로그 / 상품촬영),수성컴퓨터학원,49,1380800,15,,41
264,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,
265,주택관리사 자격대비반(회계원리),한국이러닝협회,28,183470,500,,54
266,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,45
267,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,204200,500,,36
268,주택관리사 자격대비반(민법),한국이러닝협회,50,183470,500,,47
269,주택관리사_공동주택시설개론,한국이러닝협회,47,142560,500,,59
270,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,
271,주택관리사_주택관리관계법규,한국이러닝협회,40,121770,500,,
272,주택관리사_공동주택관리실무,한국이러닝협회,30,92070,500,,
