,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
6554,미용사(네일) 자격증취득,수원뷰티실용전문학교,75,1940400,20,73.2,33.0,경기,수원시,12_미용숙박여행오락스포츠,네일아트
6555,헤어미용실무(중급),엠뷰티아카데미,55,1422960,10,73.8,43.0,서울,양천구,12_미용숙박여행오락스포츠,헤어디자이너
6556,네일실무 전문과정(2D&핸드페인팅),BMB미용예술학원,30,776160,11,46.5,26.0,대구,중구,12_미용숙박여행오락스포츠,네일아트
6557,피부미용자격증,주식회사에르모소뷰티직업전문학교,62,1604060,14,57.8,30.0,서울,마포구,12_미용숙박여행오락스포츠,피부관리사
6558,현장 실무형 헤어미용사 양성과정(실무),무궁화미용직업전문학교,50,1293600,18,53.4,40.0,대구,달서구,12_미용숙박여행오락스포츠,헤어디자이너
6559,미용사(일반)자격증취득과정,미래직업전문학교,80,2069760,12,52.9,40.0,강원,원주시,12_미용숙박여행오락스포츠,헤어디자이너
6560,미용사(일반) 헤어자격증취득반,성심미용예술직업전문학교,55,1422960,18,58.1,38.0,부산,부산진구,12_미용숙박여행오락스포츠,헤어디자이너
6561,네일미용 실무,수원뷰티실용전문학교,50,1293600,20,73.2,36.0,경기,수원시,12_미용숙박여행오락스포츠,네일아트
6562,헤어미용사 자격증취득과정,한국뷰티예술실용전문학교,54,2069760,20,81.7,38.0,경기,안산시,12_미용숙박여행오락스포츠,헤어디자이너
6563,헤어미용자격증과정,BBS미용예술직업전문학교,52,2328480,20,79.6,33.0,경기,성남시,12_미용숙박여행오락스포츠,헤어디자이너
6564,네일아트 실무 및 드릴,(주)나레스트 청량리 미용학원,46,992580,18,62.5,30.0,서울,동대문구,12_미용숙박여행오락스포츠,네일아트
6565,(일반고특화)헤어(네일아트)미용사양성과정(미용사(일반)),고려IT직업전문학교,87,4172370,25,83.0,18.0,경기,수원시,12_미용숙박여행오락스포츠,네일아트
6566,헤어(미용)국가자격증실기과정,제일미용직업전문학교,41,1862780,15,73.5,41.0,경남,통영시,12_미용숙박여행오락스포츠,헤어디자이너
6567,헤어미용 커트 실무,일산에르모소직업전문학교,37,711480,14,70.5,45.0,경기,고양시,12_미용숙박여행오락스포츠,헤어디자이너
6568,피부미용자격증취득,대전미용직업전문학교,48,1552320,14,37.2,32.0,대전,중구,12_미용숙박여행오락스포츠,피부관리사
6569,미용사(일반)자격증 취득 과정,자아연토탈미용학원,70,1791630,15,58.8,,경남,김해시,12_미용숙박여행오락스포츠,헤어디자이너
6570,미용사(네일)자격증 취득과정,동서울미용직업전문학교,38,1455300,12,63.4,28.0,서울,강동구,12_미용숙박여행오락스포츠,네일아트
6571,미용사(일반)자격증 취득 과정,광주중앙미용학원,92,1798100,15,64.9,27.0,광주,동구,12_미용숙박여행오락스포츠,헤어디자이너
6572,미용사(일반)실기대비반,무궁화미용직업전문학교,75,1940400,20,53.4,37.0,대구,달서구,12_미용숙박여행오락스포츠,헤어디자이너
