,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
41,NCS 세탁기능사자격증 취득 과정,문정세탁기술학원,120,3067200,20,92.3,60.0,대구,달서구,11_경비청소,세탁기능사
42,NCS 세탁초급실무자 양성과정,문정세탁기술학원,60,1533600,20,92.3,45.0,대구,달서구,11_경비청소,세탁기능사
43,청소전문가(CLEAN) 양성과정,내일직업전문학원,38,1220870,12,54.5,54.0,대전,서구,11_경비청소,청소전문가
44,"의류수선 취,창업 양성과정",따고집고 옷수선 전문기술학원,68,3041640,15,64.0,54.0,대구,동구,11_경비청소,의류수선
45,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,45.0,서울,동대문구,11_경비청소,청소전문가
46,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,54.0,서울,동대문구,11_경비청소,청소전문가
47,청소전문가양성과정(이론+실무),내일직업전문학원,36,902660,12,54.5,51.0,대전,서구,11_경비청소,청소전문가
48,의류제작 및 수선,광주패션디자인학원,40,1533600,12,5.6,43.0,광주,북구,11_경비청소,의류수선
49,"의류수선 취,창업 양성과정",따고집고 옷수선 전문기술학원,68,3041640,15,64.0,55.0,대구,동구,11_경비청소,의류수선
50,의류수선실무과정,(주)실과바늘 직업전문학교,43,1917000,16,34.5,47.0,서울,서대문구,11_경비청소,의류수선
51,의류수선 및 실용의복제작,한국일반문화센터,24,920160,10,34.6,45.0,경기,평택시,11_경비청소,의류수선
52,청소전문가양성과정(이론+실무),내일직업전문학원,36,902660,12,54.5,53.0,대전,서구,11_경비청소,청소전문가
53,경비지도사 자격증 취득 대비반,한국수레평생교육원,15,731760,26,38.5,54.0,경기,고양시,11_경비청소,경비지도사
54,경비지도사 자격취득 2차 집중대비반,한국수레평생교육원,10,426860,26,38.5,60.0,경기,고양시,11_경비청소,경비지도사
55,청소마스터종합,한국청소직업전문학원,24,1233860,23,50.8,50.0,서울,동대문구,11_경비청소,청소전문가
56,청소마스터종합,한국청소직업전문학원,24,1233860,23,50.8,50.0,서울,동대문구,11_경비청소,청소전문가
57,세탁기능사 자격증 과정,문정세탁기술학원,120,3067200,20,92.3,59.0,대구,달서구,11_경비청소,세탁기능사
58,수선&리폼 및 의류제작,한국일반문화센터,32,1226880,10,34.6,45.0,경기,평택시,11_경비청소,의류수선
59,청소전문가양성과정,내일직업전문학원,35,902660,12,54.5,52.0,대전,서구,11_경비청소,청소전문가
60,NCS세탁기능사자격증과정,문정세탁기술학원,120,3067200,20,92.3,59.0,대구,달서구,11_경비청소,세탁기능사
