,Unnamed: 0,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
1376,2086,"(시각디자인-GTQ취득)(포토샵1급,일러스트1급)그래픽디자인",신영진컴퓨터학원,27,455130,10,49.0,,08_문화 예술 디자인 방송,디자인
1377,2090,"[플립드러닝] 디지털디자인(웹디자이너, 웹퍼블리셔) 양성과정",그린컴퓨터아트학원,84,4270440,20,77.3,26.0,08_문화 예술 디자인 방송,디자인
1378,2091,"[플립드러닝] 디지털디자인(웹디자이너, 웹퍼블리셔) 양성과정",그린컴퓨터아트학원 안양,88,4439010,20,63.4,,08_문화 예술 디자인 방송,디자인
1379,2093,"[시각디자인] 시각(옥외광고) 일러스트,포토샵,편집디자인)",이젠컴퓨터아트학원,75,3371400,20,73.8,,08_문화 예술 디자인 방송,디자인
1380,2094,"디지털영상편집디자인(프리미어,에펙)",더조은퍼스트컴퓨터바리스타학원,34,758560,20,35.2,,08_문화 예술 디자인 방송,디자인
1381,2095,시각편집(포토샵+일러스트+인디자인)GTQ그래픽기술자격증 취득과정,노원 그린컴퓨터아카데미,32,899040,20,53.8,,08_문화 예술 디자인 방송,디자인
1382,2096,"GTQ취득과정(포토샵,일러스트)",세종IT직업전문학교,25,561900,20,66.7,,08_문화 예술 디자인 방송,포토샵
1383,2098,웹표준과 접근성을 고려한 반응형 웹사이트 제작,(주)탑디자인학원,40,899040,10,55.4,,08_문화 예술 디자인 방송,웹사이트
1384,2099,게임콘텐츠제작 전문가 양성과정A,방송정보국제교육원,105,5121880,25,70.9,,08_문화 예술 디자인 방송,게임
1385,2100,방송영상편집&모션,방송정보국제교육원,122,5495040,28,79.9,,08_문화 예술 디자인 방송,영상
1386,2103,스마트UI 웹디자인(웹퍼블리셔) 양성A,신한양직업전문학교,76,3371400,20,69.2,,08_문화 예술 디자인 방송,디자인
1387,2104,과정평가형 웹디자인기능사(A),주식회사인천직업능력개발원,71,2931800,20,57.1,,08_문화 예술 디자인 방송,디자인
1388,2105,시각디자인을 활용한 컬러리스트 양성과정,창원직업전문학교,88,3427590,20,67.9,,08_문화 예술 디자인 방송,디자인
1389,2108,게임 프로그래밍 전문가 양성과정,서울게임아카데미부산학원,180,4205920,20,50.0,,08_문화 예술 디자인 방송,게임
1390,2109,(과정평가형 자격) 웹디자인기능사 취득과정 B(UI/UX반응형웹취업과정),그린컴퓨터아트학원,91,3185460,20,76.9,23.0,08_문화 예술 디자인 방송,디자인
1391,2111,"(게임콘텐츠제작)게임그래픽 디자이너 양성과정 (2D원화,UI,3D)",(주)누리마루학원,152,4735560,27,42.3,27.0,08_문화 예술 디자인 방송,디자이너
1392,2112,"[원격+집체훈련] 영상 모션 편집(포토샵, 프리미어, 애프터이펙트)",(사)한국디지털컨버전스협회,62,715770,30,41.0,,08_문화 예술 디자인 방송,포토샵
1393,2113,미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽,사단법인 한국에듀테크산업협회,28,62370,500,33.3,,08_문화 예술 디자인 방송,인포그래픽
1394,2114,(게임콘텐츠제작) 게임그래픽전문가 양성 B,국제컴퓨터아카데미,90,4486320,20,78.8,27.0,08_문화 예술 디자인 방송,게임
1395,2115,(과정평가형)웹디자인(웹디자인기능사취득)양성과정B,그린컴퓨터아카데미 신촌,69,2743030,20,84.0,28.0,08_문화 예술 디자인 방송,디자인
1396,2117,업무에 통하는 일러스트+포토샵 CS6,사단법인 한국에듀테크산업협회,28,121770,500,33.3,,08_문화 예술 디자인 방송,포토샵
1397,2118,[탑강] UX디자인 7가지 비밀,한국이러닝협회,40,149770,500,25.0,,08_문화 예술 디자인 방송,디자인
1398,2120,"시각,편집디자인(포토샵,일러스트,인디자인,GTQ자격)",(주)허브컴퓨터회계아트학원,40,899040,14,45.3,,08_문화 예술 디자인 방송,디자인
1399,2121,"환경디자인(캐드,맥스,실내건축,스케치업)",이젠컴퓨터아트학원,75,3371400,20,73.8,,08_문화 예술 디자인 방송,디자인
1400,2123,"[플립드러닝] 디지털디자인(웹디자이너, 웹퍼블리셔) 양성과정",그린컴퓨터아카데미 신촌,84,4270440,20,84.0,,08_문화 예술 디자인 방송,디자인
1401,2124,"스마트콘텐츠 디자인&영상편집(프리미어,애펙)",더조은컴퓨터아트학원,50,1246200,20,37.8,22.0,08_문화 예술 디자인 방송,디자인
1402,2125,디자인편집과영상편집&유튜브영상제작,배움회계캐드컴퓨터학원,48,1067610,10,43.6,,08_문화 예술 디자인 방송,디자인
1403,2126,영상편집&UIUX디자인 A,부산나래디자인학원,79,3956000,20,92.3,25.0,08_문화 예술 디자인 방송,디자인
1404,2127,"실내건축설계디자인[캐드(CAD),맥스(MAX)] 양성과정 (N.04)",강남 그린컴퓨터아카데미,134,4495200,20,66.0,,08_문화 예술 디자인 방송,디자인
1405,2129,[2020년 과정평가형]실내건축산업기사 취득과정(인테리어 설계 디자인),하이미디어컴퓨터학원,96,3986400,22,71.4,28.0,08_문화 예술 디자인 방송,디자인
1406,2130,"(시각디자인) 일러스트, 포토샵, 인디자인 실무 시각디자이너 양성과정",그린컴퓨터아카데미 부천,120,3371400,20,70.5,26.0,08_문화 예술 디자인 방송,디자인
1407,2131,[디지털디자인]UI/UX 반응형 웹디자인&웹퍼블리셔 실무전문과정-B,그린컴퓨터아트학원,95,4270440,20,76.9,,08_문화 예술 디자인 방송,디자인
1408,2132,시각디자인GTQ자격취득(일러스트&포토샵),더조은아이티아카데미학원,17,758560,20,32.9,,08_문화 예술 디자인 방송,디자인
1409,2134,"시각디자인 (일러스트레이터,포토샵) 과정 (A)",그린컴퓨터아카데미 수원,32,899040,20,45.3,,08_문화 예술 디자인 방송,디자인
1410,2135,(멀티미디어콘텐츠제작)스마트문화앱콘텐츠 개발자 양성과정-원격+집체,new광주직업전문학교(북구),93,3919670,20,33.3,,08_문화 예술 디자인 방송,콘텐츠
1411,2136,반응형 UI/UX 웹디자인(웹퍼블리셔),그린컴퓨터아카데미,95,4270440,20,78.8,21.0,08_문화 예술 디자인 방송,디자인
1412,2137,"스마트기기 UI/UX 디자인(디지털앱&웹디자인,웹퍼블리셔)",더조은컴퓨터아트학원,70,3146640,20,54.3,28.0,08_문화 예술 디자인 방송,디자인
1413,2138,웹디자인(UI/UX) 실무 양성과정(B),부산부경직업전문학교,65,3067480,20,61.5,28.0,08_문화 예술 디자인 방송,디자인
1414,2139,[과정평가형]실내건축산업기사(실내건축 인테리어 디자인),그린컴퓨터아카데미,88,4228000,20,66.7,,08_문화 예술 디자인 방송,디자인
1415,2142,(디지털디자인)반응형웹디자인(웹퍼블리셔)양성과정A-4,그린컴퓨터아카데미 부산,95,4270440,20,63.4,,08_문화 예술 디자인 방송,디자인
1416,2143,(디지털디자인) [비전공/초보자] 웹디자인&웹퍼블리셔 양성과정,그린컴퓨터아카데미 부천,127,4270440,20,70.5,,08_문화 예술 디자인 방송,디자인
1417,2144,"영상편집&모션그래픽제작(프리미어,에펙)",더조은컴퓨터학원,38,1067610,20,38.1,,08_문화 예술 디자인 방송,영상
1418,2147,"디지털디자인(UI/UX, 웹디자인, 웹퍼블리싱)",(주)강림직업전문학교,109,4270440,30,81.8,,08_문화 예술 디자인 방송,디자인
1419,2148,맥스(3DMAX)를 활용한 게임콘텐츠&영상디자인 양성과정 (N.01) G,강남 그린컴퓨터아카데미,97,4797870,30,41.4,,08_문화 예술 디자인 방송,디자인
1420,2149,마야(MAYA) 3D그래픽 애니메이션 양성과정,강남 그린컴퓨터아카데미,44,1900450,20,49.3,,08_문화 예술 디자인 방송,애니메이션
1421,2150,"웹툰,이모티콘,동화캐릭터일러스트실기",서울일러스트미술학원,40,1495440,15,40.0,,08_문화 예술 디자인 방송,웹
1422,2151,그래픽디자이너양성(포토샵+일러스트+인디자인+포트폴리오),하우디자인캐드학원,48,1067610,10,43.9,31.0,08_문화 예술 디자인 방송,디자인
1423,2152,"디지털영상편집디자인(프리미어,애프터이펙트)",그린컴퓨터아카데미,50,1404750,20,53.8,,08_문화 예술 디자인 방송,디자인
1424,2153,디자인입문을 위한 시각디자인(일러스트&포토샵 )GTQ자격증취득,더조은컴퓨터학원,32,899040,20,38.1,,08_문화 예술 디자인 방송,디자인
1425,2154,"옥외광고출판디자인(시각디자인,편집디자인)전문가 양성과정 K-1",그린컴퓨터아카데미 부산,85,3820920,20,63.4,,08_문화 예술 디자인 방송,디자인
1426,2156,"디지털 영상편집 (프리미어,애프터이펙트) 디자인과정",강남 그린컴퓨터아카데미,58,1629510,20,40.6,,08_문화 예술 디자인 방송,디자인
1427,2157,"시각디자인 및 영상그래픽제작,편집",이젠컴퓨터아트서비스학원,34,955230,20,47.4,,08_문화 예술 디자인 방송,디자인
1428,2158,동화캐릭터일러스트창작,서울일러스트미술학원,40,1495440,15,40.0,,08_문화 예술 디자인 방송,일러스트
1429,2159,제품응용모델링실무(CAD+3D모델링),동양직업전문학교,88,3933300,20,76.5,,08_문화 예술 디자인 방송,CAD
