,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
79,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,27.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
80,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,29.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
81,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30.0,서울,서초구,05_법률경찰소방교도국방,법률취업
82,소방설비기사/산업기사 자격취득반(전기실기+전기전공),대영소방전문학원,18,558810,60,58.3,43.0,부산,북구,05_법률경찰소방교도국방,소방설비
83,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,25,1100000,23,64.3,49.0,서울,영등포구,05_법률경찰소방교도국방,소방시설
84,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,30,1100000,23,64.3,49.0,서울,영등포구,05_법률경찰소방교도국방,소방시설
85,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,19,1100000,23,64.3,49.0,서울,영등포구,05_법률경찰소방교도국방,소방시설
86,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,30.0,서울,서초구,05_법률경찰소방교도국방,법률사무
87,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,32.0,서울,동대문구,05_법률경찰소방교도국방,법률사무
88,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,29.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
89,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,28.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
90,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,31.0,서울,서초구,05_법률경찰소방교도국방,법률취업
91,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,25,1100000,23,64.3,,서울,영등포구,05_법률경찰소방교도국방,소방시설
92,소방설비기사/산업기사 자격취득반(기계분야),대영소방전문학원,25,745080,31,58.3,43.0,부산,북구,05_법률경찰소방교도국방,소방설비
