,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS,과정,지역1,지역2
3010,요양보호사 자격취득과정(비NCS),섬기미요양보호사교육원,30,720000,40,52.0,41.0,06_보건의료,요양보호사,,
3011,요양보호사자격증취득과정,어르신사랑요양보호사교육원,30,600000,38,66.0,62.0,06_보건의료,요양보호사,,
3012,요양보호사 자격취득 교육과정,더큰요양보호사교육원,30,722160,38,53.3,,06_보건의료,요양보호사,,
3013,병원코디네이터 및 상담실장 양성과정(NCS기반),종로아바CS평생교육원,20,554300,16,36.8,,06_보건의료,병원코디네이터,,
3014,요양보호사자격증 취득과정,(주)한국요양보호사교육원,30,600000,30,53.5,,06_보건의료,요양보호사,,
3015,요양보호사 자격취득,김해사랑요양보호사교육원,30,600000,40,49.2,50.0,06_보건의료,요양보호사,,
3016,요양보호사자격취득과정,사랑평생교육원 부설 요양보호사교육원,30,600000,40,68.9,59.0,06_보건의료,요양보호사,,
3017,요양보호사 자격증취득과정(표준),천안베스트간호학원 부설 요양보호사교육원,33,500400,33,51.3,,06_보건의료,요양보호사,,
3018,요양보호사 국가자격증 취득과정(NCS비적용),인천일신요양보호사교육원,30,648000,40,62.2,,06_보건의료,요양보호사,,
3019,요양보호사양성과정,산돌요양보호사교육원,48,650000,30,71.4,,06_보건의료,요양보호사,,
3020,요양보호사자격증양성과정,햇빛요양보호사교육원,30,550080,40,66.3,,06_보건의료,요양보호사,,
3021,요양보호사자격취득과정(주간반),글로벌간호학원부설요양보호사교육원,30,641520,34,52.7,,06_보건의료,요양보호사,,
3022,요양보호사 자격 취득과정,경기제일요양보호사교육원,30,600000,40,58.9,48.0,06_보건의료,요양보호사,,
3023,요양보호사 자격 취득 과정,e-한나요양보호사교육원,30,540000,40,62.5,59.0,06_보건의료,요양보호사,,
3024,간호조무사 자격 취득과정,효성간호보건학원,223,2998960,28,64.1,35.0,06_보건의료,간호조무사,,
3025,요양보호사 양성과정(사회복지사자격취득자),부천중부요양보호사교육원,12,200000,40,52.4,,06_보건의료,요양보호사,,
3026,요양보호사자격증 취득과정,샘물요양보호사교육원,33,722400,32,69.4,,06_보건의료,요양보호사,,
3027,간호조무사 자격취득과정(성남 한누리),한누리간호조무종합학원,191,2699520,30,56.7,42.0,06_보건의료,간호조무사,,
3028,요양보호사자격취득과정,한국실버요양보호사교육원,30,528000,37,50.5,,06_보건의료,요양보호사,,
3029,요양보호사자격증취득과정,김포간호학원부설요양보호사교육원,33,630000,32,65.0,52.0,06_보건의료,요양보호사,,
3030,요양보호사 자격 취득과정,대성요양보호사교육원,33,600000,36,63.6,54.0,06_보건의료,요양보호사,,
3031,간호조무사 자격증 취득 과정,성산간호조무사학원,191,2743600,26,78.8,,06_보건의료,간호조무사,,
3032,요양보호사자격증취득(취업성공),노아요양보호사교육원,35,600000,21,52.0,56.0,06_보건의료,요양보호사,,
3033,요양보호사(표준)주간과정,평화요양보호사교육원,30,600000,30,52.2,57.0,06_보건의료,요양보호사,,
3034,간호조무사 자격증 취득과정(취업실무),탑간호학원,211,2898640,32,86.2,,06_보건의료,간호조무사,,
3035,NCS요양보호사 국가자격증과정,부모사랑요양보호사교육원,30,600000,24,68.9,57.0,06_보건의료,요양보호사,,
3036,요양보호사 자격 취득과정,영남요양보호사교육원,30,722400,40,64.5,,06_보건의료,요양보호사,,
3037,요양보호사 자격 취득과정,프레이즈요양보호사교육원,30,451200,25,49.4,,06_보건의료,요양보호사,,
3038,요양보호사 자격취득,케어대한요양보호사교육원,30,600000,40,51.4,,06_보건의료,요양보호사,,
3039,요양보호사 자격취득과정,전국고용요양보호사교육원,30,540000,40,54.9,,06_보건의료,요양보호사,,
3040,요양보호사양성,제일요양보호사교육원,50,699840,40,43.5,51.0,06_보건의료,요양보호사,,
3041,요양보호사자격증취득과정,성산요양보호사교육원,33,640800,33,56.8,,06_보건의료,요양보호사,,
3042,요양보호사 자격 취득과정,성모요양보호사교육원,30,580000,33,46.6,,06_보건의료,요양보호사,,
3043,NCS비적용 요양보호사 자격 취득과정,일등요양보호사교육원,30,510000,30,50.7,,06_보건의료,요양보호사,,
3044,요양보호사 자격 취득과정,다사랑요양보호사교육원,30,720000,30,61.4,60.0,06_보건의료,요양보호사,,
3045,건강보험청구심사통합과정,메디아이부산학원,17,740000,10,54.5,,06_보건의료,건강보험청구심사,,
